cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_128k_L14_bs256,v32_128k_L14,256,v32,128k,14,131087,2048,0.904,66.922,252.63913333333332,0.26489166233681927,56.7992,244.88670000000002,True
v32_128k_L14_bs32,v32_128k_L14,32,v32,128k,14,131087,2048,0.904,21.275333333333332,39.84173333333333,0.5339961782117914,18.1437,37.2412,True
v32_128k_L14_bs4,v32_128k_L14,4,v32,128k,14,131087,2048,0.904,18.4404,19.950733333333332,0.9242968512435634,16.943900000000003,18.7357,True
v32_128k_L14_bs512,v32_128k_L14,512,v32,128k,14,131087,2048,0.904,119.39033333333333,314.7908,0.3792688138704604,109.8962,302.6714,True
v32_128k_L14_bs64,v32_128k_L14,64,v32,128k,14,131087,2048,0.904,26.081866666666667,58.473933333333335,0.44604262412083334,21.5135,54.4664,True
v32_128k_L14_bs8,v32_128k_L14,8,v32,128k,14,131087,2048,0.904,19.9742,25.576133333333335,0.78097027958357,17.740299999999998,24.6846,True
v32_128k_L34_bs1024,v32_128k_L34,1024,v32,128k,34,131087,2048,0.62,219.67093333333332,581.6504666666667,0.37766828348342535,207.428,568.5818,True
v32_128k_L34_bs128,v32_128k_L34,128,v32,128k,34,131087,2048,0.62,34.4758,95.54446666666666,0.3608351294720015,25.039900000000003,79.14139999999999,True
v32_128k_L34_bs16,v32_128k_L34,16,v32,128k,34,131087,2048,0.62,20.501133333333335,32.55846666666667,0.6296713399689174,17.8972,31.446,True
v32_128k_L34_bs2,v32_128k_L34,2,v32,128k,34,131087,2048,0.62,18.340133333333334,17.552933333333335,1.0448472050255606,16.7838,16.1502,True
v32_128k_L34_bs256,v32_128k_L34,256,v32,128k,34,131087,2048,0.62,67.74119999999999,257.8998666666667,0.2626647344783427,56.7928,249.61939999999998,True
v32_128k_L34_bs32,v32_128k_L34,32,v32,128k,34,131087,2048,0.62,21.484599999999997,39.14626666666667,0.5488288368069155,18.0766,36.7995,True
v32_128k_L34_bs4,v32_128k_L34,4,v32,128k,34,131087,2048,0.62,18.734866666666665,20.2258,0.9262855692564282,17.312,19.222099999999998,True
v32_128k_L34_bs512,v32_128k_L34,512,v32,128k,34,131087,2048,0.62,121.76933333333332,321.12493333333333,0.3791961342563662,111.0227,309.39840000000004,True
v32_128k_L34_bs64,v32_128k_L34,64,v32,128k,34,131087,2048,0.62,26.107400000000002,58.623333333333335,0.44534144538579634,21.5643,55.0009,True
v32_128k_L34_bs8,v32_128k_L34,8,v32,128k,34,131087,2048,0.62,19.971866666666664,25.866466666666668,0.7721142173779693,17.7085,24.998099999999997,True
v32_128k_L54_bs1024,v32_128k_L54,1024,v32,128k,54,131087,2048,0.93,353.679,562.7452,0.6284887014584931,344.7542,548.6334,True
v32_128k_L54_bs128,v32_128k_L54,128,v32,128k,54,131087,2048,0.93,42.67893333333333,91.78353333333334,0.46499553659952075,34.5244,75.7175,True
v32_128k_L54_bs16,v32_128k_L54,16,v32,128k,54,131087,2048,0.93,27.8376,31.909933333333335,0.8723803872984169,25.3917,30.511599999999998,True
v32_128k_L54_bs2,v32_128k_L54,2,v32,128k,54,131087,2048,0.93,25.32453333333333,17.550733333333334,1.4429330588275513,23.5675,16.2526,True
v32_128k_L54_bs256,v32_128k_L54,256,v32,128k,54,131087,2048,0.93,103.11126666666667,248.56446666666668,0.4148270589494288,92.9268,240.9091,True
v32_128k_L54_bs32,v32_128k_L54,32,v32,128k,54,131087,2048,0.93,28.840333333333334,38.651199999999996,0.7461691573180997,25.9392,36.0444,True
v32_128k_L54_bs4,v32_128k_L54,4,v32,128k,54,131087,2048,0.93,25.810933333333335,20.347466666666666,1.2685084465879455,24.0894,19.1101,True
v32_128k_L54_bs512,v32_128k_L54,512,v32,128k,54,131087,2048,0.93,180.7508,309.25059999999996,0.5844800301115018,171.6619,296.5244,True
v32_128k_L54_bs64,v32_128k_L54,64,v32,128k,54,131087,2048,0.93,35.357533333333336,57.044666666666664,0.6198218939544451,30.9883,53.0425,True
v32_128k_L54_bs8,v32_128k_L54,8,v32,128k,54,131087,2048,0.93,27.363866666666667,25.691466666666667,1.0650955440457532,25.1964,24.8059,True
v32_16k_L14_bs1024,v32_16k_L14,1024,v32,16k,14,16399,2048,0.902,61.230133333333335,80.71793333333333,0.7585691407692137,52.037800000000004,73.4486,True
v32_16k_L14_bs128,v32_16k_L14,128,v32,16k,14,16399,2048,0.902,14.233466666666667,20.1982,0.7046898568519308,11.9326,17.8334,True
v32_16k_L14_bs16,v32_16k_L14,16,v32,16k,14,16399,2048,0.902,13.045333333333334,19.088866666666664,0.6834000970897522,11.5773,17.4558,True
v32_16k_L14_bs2,v32_16k_L14,2,v32,16k,14,16399,2048,0.902,12.426533333333333,18.487266666666667,0.6721671492811269,11.0304,16.927799999999998,True
v32_16k_L14_bs256,v32_16k_L14,256,v32,16k,14,16399,2048,0.902,17.904866666666663,31.255066666666664,0.5728628531694061,15.203,27.3659,True
v32_16k_L14_bs32,v32_16k_L14,32,v32,16k,14,16399,2048,0.902,13.194466666666667,19.253133333333334,0.6853152906713019,11.5616,17.4238,True
v32_16k_L14_bs4,v32_16k_L14,4,v32,16k,14,16399,2048,0.902,12.757133333333334,18.704866666666664,0.6820221475337971,11.2512,17.1582,True
v32_16k_L14_bs512,v32_16k_L14,512,v32,16k,14,16399,2048,0.902,33.6768,48.874066666666664,0.689052544566921,29.030099999999997,44.2875,True
v32_16k_L14_bs64,v32_16k_L14,64,v32,16k,14,16399,2048,0.902,13.595666666666666,19.5966,0.6937768116237851,11.76,17.6543,True
v32_16k_L14_bs8,v32_16k_L14,8,v32,16k,14,16399,2048,0.902,12.601533333333332,18.751933333333334,0.6720124858236839,11.0429,16.9503,True
v32_16k_L34_bs1024,v32_16k_L34,1024,v32,16k,34,16399,2048,0.533,68.09073333333333,82.16433333333333,0.8287139999918862,57.2889,75.7591,True
v32_16k_L34_bs128,v32_16k_L34,128,v32,16k,34,16399,2048,0.533,15.1614,20.5246,0.7386940549389513,12.7455,18.051,True
v32_16k_L34_bs16,v32_16k_L34,16,v32,16k,34,16399,2048,0.533,13.710733333333334,19.101666666666667,0.7177768083064305,12.4063,17.7533,True
v32_16k_L34_bs2,v32_16k_L34,2,v32,16k,34,16399,2048,0.533,13.1796,18.461599999999997,0.7138926203579323,11.8206,17.1422,True
v32_16k_L34_bs256,v32_16k_L34,256,v32,16k,34,16399,2048,0.533,20.155466666666666,31.338266666666666,0.6431583112446125,17.222,27.602700000000002,True
v32_16k_L34_bs32,v32_16k_L34,32,v32,16k,34,16399,2048,0.533,13.744866666666667,19.19333333333333,0.7161271274748178,12.323,17.737299999999998,True
v32_16k_L34_bs4,v32_16k_L34,4,v32,16k,34,16399,2048,0.533,13.250133333333332,18.709133333333334,0.7082173768961326,12.0894,17.3021,True
v32_16k_L34_bs512,v32_16k_L34,512,v32,16k,34,16399,2048,0.533,37.41833333333334,50.70433333333334,0.7379711135800359,32.118,46.0954,True
v32_16k_L34_bs64,v32_16k_L34,64,v32,16k,34,16399,2048,0.533,14.2996,19.7822,0.7228518567196773,12.585600000000001,17.9327,True
v32_16k_L34_bs8,v32_16k_L34,8,v32,16k,34,16399,2048,0.533,13.292666666666666,18.71333333333333,0.7103313145707161,11.8751,17.2189,True
v32_16k_L54_bs1024,v32_16k_L54,1024,v32,16k,54,16399,2048,0.676,64.75446666666667,77.6098,0.834359406501069,54.6427,70.8534,True
v32_16k_L54_bs128,v32_16k_L54,128,v32,16k,54,16399,2048,0.676,14.856533333333333,19.511266666666668,0.7614335648804622,12.5503,17.4013,True
v32_16k_L54_bs16,v32_16k_L54,16,v32,16k,54,16399,2048,0.676,13.638266666666667,18.333599999999997,0.7438946342598655,12.2271,17.0239,True
v32_16k_L54_bs2,v32_16k_L54,2,v32,16k,54,16399,2048,0.676,13.077133333333332,17.762133333333335,0.7362366382416525,11.641399999999999,16.483,True
v32_16k_L54_bs256,v32_16k_L54,256,v32,16k,54,16399,2048,0.676,18.828599999999998,29.661466666666666,0.6347831754779489,15.955,26.0093,True
v32_16k_L54_bs32,v32_16k_L54,32,v32,16k,54,16399,2048,0.676,13.830266666666667,18.47233333333333,0.7487016619448906,12.188600000000001,17.0751,True
v32_16k_L54_bs4,v32_16k_L54,4,v32,16k,54,16399,2048,0.676,13.200866666666666,17.881400000000003,0.7382457003739452,11.8909,16.6206,True
v32_16k_L54_bs512,v32_16k_L54,512,v32,16k,54,16399,2048,0.676,35.138,47.0436,0.7469241299560407,30.454,42.818599999999996,True
v32_16k_L54_bs64,v32_16k_L54,64,v32,16k,54,16399,2048,0.676,14.222733333333334,18.892466666666667,0.7528256412608906,12.3744,17.2159,True
v32_16k_L54_bs8,v32_16k_L54,8,v32,16k,54,16399,2048,0.676,13.243533333333334,17.806733333333334,0.7437373877297352,11.699,16.499,True
v32_256k_L14_bs1024,v32_256k_L14,1024,v32,256k,14,163775,2048,0.913,262.5844666666667,705.9028666666667,0.3719838508470901,252.1025,691.3516999999999,True
v32_256k_L14_bs128,v32_256k_L14,128,v32,256k,14,163775,2048,0.913,44.2086,115.94293333333333,0.38129620088963306,28.2972,93.1285,True
v32_256k_L14_bs16,v32_256k_L14,16,v32,256k,14,163775,2048,0.913,22.760066666666667,36.019,0.6318905762699316,19.167900000000003,34.226800000000004,True
v32_256k_L14_bs2,v32_256k_L14,2,v32,256k,14,163775,2048,0.913,19.402466666666665,18.111733333333333,1.0712650362932317,17.3789,16.9309,True
v32_256k_L14_bs256,v32_256k_L14,256,v32,256k,14,163775,2048,0.913,80.60913333333333,309.5749333333334,0.260386499854424,70.0856,301.5837,True
