cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_4k_L22_bs32,flash_4k_L22,32,flash,4k,22,1027,512,0.639,8.2856,,,7.2255,,
flash_4k_L22_bs4,flash_4k_L22,4,flash,4k,22,1027,512,0.639,8.172733333333333,,,6.841399999999999,,
flash_4k_L22_bs512,flash_4k_L22,512,flash,4k,22,1027,512,0.639,17.330599999999997,,,15.2286,,
flash_4k_L22_bs64,flash_4k_L22,64,flash,4k,22,1027,512,0.639,8.343333333333334,,,7.2031,,
flash_4k_L22_bs8,flash_4k_L22,8,flash,4k,22,1027,512,0.639,7.769466666666666,,,6.7071000000000005,,
flash_4k_L34_bs1024,flash_4k_L34,1024,flash,4k,34,1027,512,0.695,32.0832,,,28.7197,,
flash_4k_L34_bs128,flash_4k_L34,128,flash,4k,34,1027,512,0.695,8.723133333333333,,,7.4656,,
flash_4k_L34_bs16,flash_4k_L34,16,flash,4k,34,1027,512,0.695,8.082933333333333,,,7.2286,,
flash_4k_L34_bs2,flash_4k_L34,2,flash,4k,34,1027,512,0.695,7.750333333333333,,,6.899,,
flash_4k_L34_bs256,flash_4k_L34,256,flash,4k,34,1027,512,0.695,9.563666666666666,,,8.3904,,
flash_4k_L34_bs32,flash_4k_L34,32,flash,4k,34,1027,512,0.695,8.3476,,,7.2062,,
flash_4k_L34_bs4,flash_4k_L34,4,flash,4k,34,1027,512,0.695,7.940133333333333,,,6.7071000000000005,,
flash_4k_L34_bs512,flash_4k_L34,512,flash,4k,34,1027,512,0.695,17.450599999999998,,,15.382200000000001,,
flash_4k_L34_bs64,flash_4k_L34,64,flash,4k,34,1027,512,0.695,8.292200000000001,,,7.2736,,
flash_4k_L34_bs8,flash_4k_L34,8,flash,4k,34,1027,512,0.695,7.6928,,,6.6591000000000005,,
flash_512k_L10_bs1024,flash_512k_L10,1024,flash,512k,10,131075,512,0.455,204.2725333333333,,,194.1958,,
flash_512k_L10_bs128,flash_512k_L10,128,flash,512k,10,131075,512,0.455,33.091800000000006,,,21.3376,,
flash_512k_L10_bs16,flash_512k_L10,16,flash,512k,10,131075,512,0.455,16.780733333333334,,,13.782200000000001,,
flash_512k_L10_bs2,flash_512k_L10,2,flash,512k,10,131075,512,0.455,14.425533333333332,,,13.0336,,
flash_512k_L10_bs256,flash_512k_L10,256,flash,512k,10,131075,512,0.455,64.25946666666667,,,53.2474,,
flash_512k_L10_bs32,flash_512k_L10,32,flash,512k,10,131075,512,0.455,17.7618,,,14.3644,,
flash_512k_L10_bs4,flash_512k_L10,4,flash,512k,10,131075,512,0.455,15.0782,,,13.3759,,
flash_512k_L10_bs512,flash_512k_L10,512,flash,512k,10,131075,512,0.455,114.14693333333334,,,102.93639999999999,,
flash_512k_L10_bs64,flash_512k_L10,64,flash,512k,10,131075,512,0.455,23.541066666666666,,,18.0383,,
flash_512k_L10_bs8,flash_512k_L10,8,flash,512k,10,131075,512,0.455,16.008333333333333,,,13.7086,,
flash_512k_L22_bs1024,flash_512k_L22,1024,flash,512k,22,131075,512,0.057,405.6868,,,397.0478,,
flash_512k_L22_bs128,flash_512k_L22,128,flash,512k,22,131075,512,0.057,45.9854,,,34.8091,,
flash_512k_L22_bs16,flash_512k_L22,16,flash,512k,22,131075,512,0.057,24.5672,,,21.907,,
flash_512k_L22_bs2,flash_512k_L22,2,flash,512k,22,131075,512,0.057,20.691066666666664,,,19.2702,,
