scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,1024,fp16,32768,1,0.8496,40,16.645,15.063,17.067,15.347,14.771,13.958,24.821,22.672,41.632,37.776,15.477,13.664,15.608,13.661,13.035,11.676,,,,,0.975,1.127,0.671,0.4,1.075,1.066,1.277,,,1,ms_1cta,ms_1cta,1cta,
worst,1024,fp16,65536,1,0.8496,38,18.661,17.481,17.098,15.721,14.635,13.81,34.744,31.502,43.019,39.204,13.776,12.418,13.746,12.42,13.909,12.589,,,,,1.091,1.275,0.537,0.434,1.355,1.358,1.342,,,4,msc_C8,msc_C8,mc,
worst,1024,fp16,131072,1,0.8496,26,24.273,22.395,16.178,15.041,14.715,13.605,55.773,49.206,45.918,41.228,14.314,12.606,14.389,12.632,14.829,13.633,,,,,1.5,1.65,0.435,0.529,1.696,1.687,1.637,,,4,msc_C8,msc_C8,mc,
worst,1024,fp16,262144,1,0.8496,58,85.122,83.345,41.035,39.48,14.715,13.674,95.189,82.459,49.328,44.265,15.618,13.674,15.6,13.698,18.269,16.686,,,,,2.074,5.785,0.894,1.726,5.45,5.457,4.659,,,4,msc_C8,msc_C8,mc,
worst,1024,fp16,524288,1,0.8496,26,63.153,60.827,28.675,26.776,14.581,13.614,177.257,152.416,57.214,50.901,16.738,14.459,17.178,14.714,24.539,22.808,,,,,2.202,4.331,0.356,1.104,3.773,3.677,2.574,,,4,msc_C8,msc_C8,mc,
worst,1024,fp16,1048576,1,0.8496,46,114.491,111.198,43.673,40.827,15.15,13.88,341.274,293.025,74.541,65.483,20.403,16.915,20.606,17.108,36.592,34.155,,,,,2.622,7.557,0.335,1.536,5.611,5.556,3.129,,,4,msc_C8,msc_C8,mc,
worst,1024,fp32,4096,1,0.8496,52,14.597,13.407,14.506,13.352,6.637,6.068,15.794,14.824,37.728,33.473,11.11,10.053,11.082,10.045,10.789,9.59,5.374,4.618,7.795,7.385,1.006,2.199,0.924,0.387,1.314,1.317,1.353,2.716,1.873,1,ms_1cta,ms_1cta,plain,5.374
worst,1024,fp32,8192,1,0.8496,26,17.624,16.403,17.697,16.392,8.387,7.867,18.001,16.535,37.502,33.914,11.931,11.002,11.928,11.004,10.709,9.505,6.214,5.503,12.112,11.496,0.996,2.101,0.979,0.47,1.477,1.478,1.646,2.836,1.455,1,ms_1cta,ms_1cta,plain,6.214
worst,1024,fp32,16384,1,0.8496,28,17.333,16.047,17.285,16.02,12.466,11.898,21.64,18.958,38.925,35.311,13.045,11.967,13.315,11.969,12.128,10.801,7.707,6.823,12.179,11.139,1.003,1.39,0.801,0.445,1.329,1.302,1.429,2.249,1.423,1,ms_1cta,ms_1cta,plain,7.707
worst,1024,fp32,32768,1,0.8496,40,19.344,17.501,19.341,17.485,20.11,19.643,29.605,25.281,41.443,37.892,14.979,13.493,14.942,13.469,14.603,12.735,12.093,10.009,11.79,11.105,1.0,0.962,0.653,0.467,1.291,1.295,1.325,1.6,1.641,1,ms_1cta,ms_1cta,plain,12.093
