cell,BS,arm_us,pr_us,x_arm,x_v3,exact
pro_128k_L14,256,37.026,20.2542,0.547,0.8552,OK
pro_128k_L14,512,64.325,38.153150000000004,0.5931,0.9326,OK
pro_128k_L14,1024,101.953,66.2345,0.6497,1.007,OK
pro_128k_L30,2,24.297,12.98205,0.5343,1.4266,OK
pro_128k_L30,4,24.151,12.84125,0.5317,1.3578,OK
pro_128k_L30,8,24.766,12.6589,0.5111,1.3174,OK
pro_128k_L30,16,26.156,13.0398,0.4985,1.1108,OK
pro_128k_L30,32,26.707,13.402899999999999,0.5019,1.0928,OK
pro_128k_L30,64,28.138,14.118049999999998,0.5017,1.0835,OK
pro_128k_L30,128,31.951,15.15985,0.4745,1.0376,OK
pro_128k_L30,256,37.879,20.974,0.5537,0.8875,OK
pro_128k_L30,512,65.057,39.23955,0.6032,0.962,OK
pro_128k_L30,1024,103.196,68.30455,0.6619,1.0393,OK
pro_128k_L46,2,23.599,14.2463,0.6037,1.6063,OK
pro_128k_L46,4,24.202,13.9871,0.5779,1.5599,OK
pro_128k_L46,8,24.417,13.7391,0.5627,1.4637,OK
pro_128k_L46,16,24.993,14.16625,0.5668,1.1247,OK
pro_128k_L46,32,26.183,14.51825,0.5545,1.1096,OK
pro_128k_L46,64,27.87,15.2127,0.5458,1.0964,OK
pro_128k_L46,128,31.785,16.08955,0.5062,1.0442,OK
pro_128k_L46,256,38.152,22.27665,0.5839,0.8778,OK
pro_128k_L46,512,66.138,41.846,0.6327,0.9364,OK
pro_128k_L46,1024,105.555,73.11460000000001,0.6927,1.0116,OK
pro_16k_L14,2,15.028,9.5183,0.6334,1.5645,OK
pro_16k_L14,4,15.133,9.4719,0.6259,1.5373,OK
pro_16k_L14,8,15.115,9.739049999999999,0.6443,1.5725,OK
pro_16k_L14,16,15.44,9.539,0.6178,1.458,OK
pro_16k_L14,32,15.594,9.671850000000001,0.6202,1.4652,OK
pro_16k_L14,64,15.851,9.8479,0.6213,1.4677,OK
pro_16k_L14,128,16.052,10.12945,0.631,1.4429,OK
pro_16k_L14,256,19.981,11.913450000000001,0.5962,0.9949,OK
pro_16k_L14,512,35.302,21.59655,0.6118,1.0005,OK
pro_16k_L14,1024,55.46,39.46515,0.7116,1.002,OK
pro_16k_L30,2,14.051,9.20305,0.655,1.6026,OK
pro_16k_L30,4,14.261,9.3567,0.6561,1.5589,OK
pro_16k_L30,8,14.259,9.196549999999998,0.645,1.5212,OK
pro_16k_L30,16,14.609,9.56465,0.6547,1.5052,OK
pro_16k_L30,32,14.7,9.7503,0.6633,1.5036,OK
pro_16k_L30,64,14.881,9.883149999999999,0.6641,1.4873,OK
pro_16k_L30,128,15.273,10.19195,0.6673,1.4743,OK
pro_16k_L30,256,19.145,11.9982,0.6267,0.9975,OK
pro_16k_L30,512,33.439,21.730900000000002,0.6499,1.0009,OK
pro_16k_L30,1024,52.529,39.783449999999995,0.7574,1.0076,OK
pro_16k_L46,2,15.38,8.9871,0.5844,1.2202,OK
pro_16k_L46,4,15.43,9.2095,0.5969,1.2422,OK
pro_16k_L46,8,15.461,8.9743,0.5805,1.208,OK
pro_16k_L46,16,15.565,9.377450000000001,0.6025,1.2661,OK
pro_16k_L46,32,15.687,9.5039,0.6058,1.2688,OK
