uuid,model,cs,N,K,band,base_us
pro_32k_L40,pro,1,8195,1024,32k-1M,11.211
pro_32k_L42,pro,1,8195,1024,32k-1M,10.648
pro_32k_L44,pro,1,8195,1024,32k-1M,10.066
pro_32k_L46,pro,1,8195,1024,32k-1M,9.805
pro_32k_L48,pro,1,8195,1024,32k-1M,10.688
pro_32k_L50,pro,1,8195,1024,32k-1M,9.853
pro_32k_L52,pro,1,8195,1024,32k-1M,10.114
pro_32k_L54,pro,1,8195,1024,32k-1M,9.634
pro_32k_L56,pro,1,8195,1024,32k-1M,10.07
pro_32k_L58,pro,1,8195,1024,32k-1M,9.677
pro_32k_L60,pro,1,8195,1024,32k-1M,12.744
pro_4k_L02,pro,1,1027,1024,4k-32k,6.275
pro_4k_L04,pro,1,1027,1024,4k-32k,10.853
pro_4k_L06,pro,1,1027,1024,4k-32k,10.758
pro_4k_L08,pro,1,1027,1024,4k-32k,11.203
pro_4k_L10,pro,1,1027,1024,4k-32k,10.725
pro_4k_L12,pro,1,1027,1024,4k-32k,10.915
pro_4k_L14,pro,1,1027,1024,4k-32k,10.67
pro_4k_L16,pro,1,1027,1024,4k-32k,6.467
pro_4k_L18,pro,1,1027,1024,4k-32k,10.682
pro_4k_L20,pro,1,1027,1024,4k-32k,10.926
pro_4k_L22,pro,1,1027,1024,4k-32k,10.666
pro_4k_L24,pro,1,1027,1024,4k-32k,10.899
pro_4k_L26,pro,1,1027,1024,4k-32k,10.72
pro_4k_L28,pro,1,1027,1024,4k-32k,10.947
pro_4k_L30,pro,1,1027,1024,4k-32k,10.723
pro_4k_L32,pro,1,1027,1024,4k-32k,10.856
pro_4k_L34,pro,1,1027,1024,4k-32k,10.706
pro_4k_L36,pro,1,1027,1024,4k-32k,10.866
pro_4k_L38,pro,1,1027,1024,4k-32k,10.638
pro_4k_L40,pro,1,1027,1024,4k-32k,10.96
pro_4k_L42,pro,1,1027,1024,4k-32k,10.739
pro_4k_L44,pro,1,1027,1024,4k-32k,11.022
pro_4k_L46,pro,1,1027,1024,4k-32k,10.667
pro_4k_L48,pro,1,1027,1024,4k-32k,11.093
pro_4k_L50,pro,1,1027,1024,4k-32k,10.826
pro_4k_L52,pro,1,1027,1024,4k-32k,10.922
pro_4k_L54,pro,1,1027,1024,4k-32k,10.646
pro_4k_L56,pro,1,1027,1024,4k-32k,10.893
pro_4k_L58,pro,1,1027,1024,4k-32k,10.725
pro_4k_L60,pro,1,1027,1024,4k-32k,10.88
pro_512k_L02,pro,8,131075,1024,32k-1M,18.835
pro_512k_L04,pro,8,131075,1024,32k-1M,22.005
pro_512k_L06,pro,8,131075,1024,32k-1M,19.285
pro_512k_L08,pro,8,131075,1024,32k-1M,20.011
pro_512k_L10,pro,8,131075,1024,32k-1M,21.171
pro_512k_L12,pro,8,131075,1024,32k-1M,21.683
pro_512k_L14,pro,8,131075,1024,32k-1M,15.699
pro_512k_L16,pro,8,131075,1024,32k-1M,17.773
pro_512k_L18,pro,8,131075,1024,32k-1M,16.194
pro_512k_L20,pro,8,131075,1024,32k-1M,15.918
pro_512k_L22,pro,8,131075,1024,32k-1M,15.77
pro_512k_L24,pro,8,131075,1024,32k-1M,17.037
pro_512k_L26,pro,8,131075,1024,32k-1M,17.646
pro_512k_L28,pro,8,131075,1024,32k-1M,17.144
pro_512k_L30,pro,8,131075,1024,32k-1M,17.59
pro_512k_L32,pro,8,131075,1024,32k-1M,15.798
pro_512k_L34,pro,8,131075,1024,32k-1M,16.611
pro_512k_L36,pro,8,131075,1024,32k-1M,16.493
pro_512k_L38,pro,8,131075,1024,32k-1M,17.24
pro_512k_L40,pro,8,131075,1024,32k-1M,15.83
pro_512k_L42,pro,8,131075,1024,32k-1M,17.006
pro_512k_L44,pro,8,131075,1024,32k-1M,17.733
pro_512k_L46,pro,8,131075,1024,32k-1M,16.173
pro_512k_L48,pro,8,131075,1024,32k-1M,17.08
pro_512k_L50,pro,8,131075,1024,32k-1M,16.021
pro_512k_L52,pro,8,131075,1024,32k-1M,16.314
pro_512k_L54,pro,8,131075,1024,32k-1M,16.202
pro_512k_L56,pro,8,131075,1024,32k-1M,15.957
pro_512k_L58,pro,8,131075,1024,32k-1M,15.501
pro_512k_L60,pro,8,131075,1024,32k-1M,21.216
pro_64k_L02,pro,1,16387,1024,32k-1M,11.547
pro_64k_L04,pro,1,16387,1024,32k-1M,11.04
pro_64k_L06,pro,1,16387,1024,32k-1M,11.088
pro_64k_L08,pro,1,16387,1024,32k-1M,10.917
pro_64k_L10,pro,1,16387,1024,32k-1M,11.387
pro_64k_L12,pro,1,16387,1024,32k-1M,11.794
pro_64k_L14,pro,1,16387,1024,32k-1M,12.184
pro_64k_L16,pro,1,16387,1024,32k-1M,12.109
pro_64k_L18,pro,1,16387,1024,32k-1M,12.955
pro_64k_L20,pro,1,16387,1024,32k-1M,11.675
pro_64k_L22,pro,1,16387,1024,32k-1M,13.542
pro_64k_L24,pro,1,16387,1024,32k-1M,11.235
pro_64k_L26,pro,1,16387,1024,32k-1M,13.835
pro_64k_L28,pro,1,16387,1024,32k-1M,11.474
pro_64k_L30,pro,1,16387,1024,32k-1M,11.784
pro_64k_L32,pro,1,16387,1024,32k-1M,10.915
pro_64k_L34,pro,1,16387,1024,32k-1M,11.811
pro_64k_L36,pro,1,16387,1024,32k-1M,12.741
pro_64k_L38,pro,1,16387,1024,32k-1M,12.104
pro_64k_L40,pro,1,16387,1024,32k-1M,11.45
pro_64k_L42,pro,1,16387,1024,32k-1M,13.173
pro_64k_L44,pro,1,16387,1024,32k-1M,13.182
pro_64k_L46,pro,1,16387,1024,32k-1M,12.851
pro_64k_L48,pro,1,16387,1024,32k-1M,11.8
pro_64k_L50,pro,1,16387,1024,32k-1M,11.045
pro_64k_L52,pro,1,16387,1024,32k-1M,11.07
pro_64k_L54,pro,1,16387,1024,32k-1M,12.19
pro_64k_L56,pro,1,16387,1024,32k-1M,12.082
pro_64k_L58,pro,1,16387,1024,32k-1M,11.859
pro_64k_L60,pro,1,16387,1024,32k-1M,11.218
pro_8k_L02,pro,1,2051,1024,4k-32k,9.973
pro_8k_L04,pro,1,2051,1024,4k-32k,10.083
pro_8k_L06,pro,1,2051,1024,4k-32k,9.846
pro_8k_L08,pro,1,2051,1024,4k-32k,9.946
pro_8k_L10,pro,1,2051,1024,4k-32k,10.029
pro_8k_L12,pro,1,2051,1024,4k-32k,8.2
pro_8k_L14,pro,1,2051,1024,4k-32k,7.922
pro_8k_L16,pro,1,2051,1024,4k-32k,8.141
pro_8k_L18,pro,1,2051,1024,4k-32k,8.147
pro_8k_L20,pro,1,2051,1024,4k-32k,10.326
pro_8k_L22,pro,1,2051,1024,4k-32k,8.16
pro_8k_L24,pro,1,2051,1024,4k-32k,8.256
pro_8k_L26,pro,1,2051,1024,4k-32k,8.416
pro_8k_L28,pro,1,2051,1024,4k-32k,8.627
pro_8k_L30,pro,1,2051,1024,4k-32k,8.342
pro_8k_L32,pro,1,2051,1024,4k-32k,9.379
pro_8k_L34,pro,1,2051,1024,4k-32k,8.406
pro_8k_L36,pro,1,2051,1024,4k-32k,8.536
pro_8k_L38,pro,1,2051,1024,4k-32k,8.048
pro_8k_L40,pro,1,2051,1024,4k-32k,8.141
pro_8k_L42,pro,1,2051,1024,4k-32k,8.381
pro_8k_L44,pro,1,2051,1024,4k-32k,8.542
pro_8k_L46,pro,1,2051,1024,4k-32k,8.582
pro_8k_L48,pro,1,2051,1024,4k-32k,8.451
pro_8k_L50,pro,1,2051,1024,4k-32k,8.107
pro_8k_L52,pro,1,2051,1024,4k-32k,8.282
pro_8k_L54,pro,1,2051,1024,4k-32k,8.186
pro_8k_L56,pro,1,2051,1024,4k-32k,8.123
pro_8k_L58,pro,1,2051,1024,4k-32k,10.269
pro_8k_L60,pro,1,2051,1024,4k-32k,9.896
v32_128k_L03,v32,8,131087,2048,32k-1M,19.115
v32_128k_L04,v32,8,131087,2048,32k-1M,18.414
v32_128k_L05,v32,8,131087,2048,32k-1M,18.617
v32_128k_L06,v32,8,131087,2048,32k-1M,18.621
v32_128k_L07,v32,8,131087,2048,32k-1M,17.728
v32_128k_L08,v32,8,131087,2048,32k-1M,25.086
v32_128k_L09,v32,8,131087,2048,32k-1M,18.454
v32_128k_L10,v32,8,131087,2048,32k-1M,18.393
v32_128k_L11,v32,8,131087,2048,32k-1M,17.734
