model,isl,layer,dtype,N,K,s,z,mode,admit,band,miss
flash,64k,6,fp32,16387,512,4096,3.0,iid,1.29931640625,0.5498046875,0
flash,64k,6,bf16,16387,512,1024,3.0,strat,1.50244140625,1.055419921875,0
flash,64k,6,bf16,16387,512,1024,3.0,iid,1.7021484375,1.126220703125,0
flash,64k,6,bf16,16387,512,2048,3.0,strat,1.359619140625,0.71435546875,0
flash,64k,6,bf16,16387,512,2048,3.0,iid,1.447998046875,0.7841796875,0
flash,64k,6,bf16,16387,512,4096,3.0,strat,1.271484375,0.52490234375,0
flash,64k,6,bf16,16387,512,4096,3.0,iid,1.301513671875,0.55029296875,0
pro,64k,2,fp32,16387,1024,1024,3.0,strat,1.3223876953125,0.7265625,0
pro,64k,2,fp32,16387,1024,1024,3.0,iid,1.379150390625,0.7320556640625,0
pro,64k,2,fp32,16387,1024,2048,3.0,strat,1.2374267578125,0.505126953125,0
pro,64k,2,fp32,16387,1024,2048,3.0,iid,1.2987060546875,0.532958984375,0
pro,64k,2,fp32,16387,1024,4096,3.0,strat,1.1888427734375,0.3653564453125,0
pro,64k,2,fp32,16387,1024,4096,3.0,iid,1.2174072265625,0.3763427734375,0
pro,64k,2,bf16,16387,1024,1024,3.0,strat,1.32275390625,0.7261962890625,0
pro,64k,2,bf16,16387,1024,1024,3.0,iid,1.37939453125,0.7305908203125,0
pro,64k,2,bf16,16387,1024,2048,3.0,strat,1.23779296875,0.503662109375,0
pro,64k,2,bf16,16387,1024,2048,3.0,iid,1.2991943359375,0.5323486328125,0
pro,64k,2,bf16,16387,1024,4096,3.0,strat,1.1904296875,0.36572265625,0
pro,64k,2,bf16,16387,1024,4096,3.0,iid,1.21826171875,0.3753662109375,0
pro,64k,4,fp32,16387,1024,1024,3.0,strat,1.3521728515625,0.7196044921875,0
pro,64k,4,fp32,16387,1024,1024,3.0,iid,1.4095458984375,0.724365234375,0
pro,64k,4,fp32,16387,1024,2048,3.0,strat,1.201904296875,0.48876953125,0
pro,64k,4,fp32,16387,1024,2048,3.0,iid,1.263916015625,0.4649658203125,0
pro,64k,4,fp32,16387,1024,4096,3.0,strat,1.181640625,0.3524169921875,0
pro,64k,4,fp32,16387,1024,4096,3.0,iid,1.1744384765625,0.3411865234375,0
pro,64k,4,bf16,16387,1024,1024,3.0,strat,1.379150390625,0.7374267578125,0
pro,64k,4,bf16,16387,1024,1024,3.0,iid,1.429443359375,0.7376708984375,0
pro,64k,4,bf16,16387,1024,2048,3.0,strat,1.219970703125,0.4920654296875,0
pro,64k,4,bf16,16387,1024,2048,3.0,iid,1.2811279296875,0.4715576171875,0
pro,64k,4,bf16,16387,1024,4096,3.0,strat,1.19580078125,0.354248046875,0
pro,64k,4,bf16,16387,1024,4096,3.0,iid,1.1856689453125,0.3359375,0
pro,64k,6,fp32,16387,1024,1024,3.0,strat,1.3201904296875,0.6917724609375,0
pro,64k,6,fp32,16387,1024,1024,3.0,iid,1.3814697265625,0.76220703125,0
pro,64k,6,fp32,16387,1024,2048,3.0,strat,1.2694091796875,0.5435791015625,0
pro,64k,6,fp32,16387,1024,2048,3.0,iid,1.2562255859375,0.4952392578125,0
pro,64k,6,fp32,16387,1024,4096,3.0,strat,1.177490234375,0.36669921875,0
pro,64k,6,fp32,16387,1024,4096,3.0,iid,1.1856689453125,0.3533935546875,0
pro,64k,6,bf16,16387,1024,1024,3.0,strat,1.3221435546875,0.69140625,0
pro,64k,6,bf16,16387,1024,1024,3.0,iid,1.383544921875,0.761474609375,0
pro,64k,6,bf16,16387,1024,2048,3.0,strat,1.270751953125,0.54296875,0
pro,64k,6,bf16,16387,1024,2048,3.0,iid,1.2581787109375,0.4964599609375,0
pro,64k,6,bf16,16387,1024,4096,3.0,strat,1.178955078125,0.3668212890625,0
pro,64k,6,bf16,16387,1024,4096,3.0,iid,1.1871337890625,0.353515625,0
flash,128k,2,fp32,32771,512,1024,3.0,strat,1.85546875,1.602294921875,0
flash,128k,2,fp32,32771,512,1024,3.0,iid,1.961669921875,1.65283203125,0
flash,128k,2,fp32,32771,512,2048,3.0,strat,1.613037109375,1.190185546875,0
flash,128k,2,fp32,32771,512,2048,3.0,iid,1.614990234375,1.130615234375,0
flash,128k,2,fp32,32771,512,4096,3.0,strat,1.3828125,0.76416015625,0
flash,128k,2,fp32,32771,512,4096,3.0,iid,1.37451171875,0.776611328125,0
flash,128k,2,bf16,32771,512,1024,3.0,strat,1.884765625,1.62646484375,0
flash,128k,2,bf16,32771,512,1024,3.0,iid,2.004150390625,1.691650390625,0
flash,128k,2,bf16,32771,512,2048,3.0,strat,1.63916015625,1.204345703125,0
flash,128k,2,bf16,32771,512,2048,3.0,iid,1.650146484375,1.1533203125,0
flash,128k,2,bf16,32771,512,4096,3.0,strat,1.419189453125,0.785400390625,0
flash,128k,2,bf16,32771,512,4096,3.0,iid,1.390869140625,0.781982421875,0
flash,128k,4,fp32,32771,512,1024,3.0,strat,1.850341796875,1.620361328125,0
flash,128k,4,fp32,32771,512,1024,3.0,iid,1.835693359375,1.5595703125,0
flash,128k,4,fp32,32771,512,2048,3.0,strat,1.669921875,1.148681640625,0
flash,128k,4,fp32,32771,512,2048,3.0,iid,1.5205078125,1.087646484375,0
flash,128k,4,fp32,32771,512,4096,3.0,strat,1.393310546875,0.727294921875,0
flash,128k,4,fp32,32771,512,4096,3.0,iid,1.39599609375,0.78125,0
flash,128k,4,bf16,32771,512,1024,3.0,strat,1.855712890625,1.625244140625,0
flash,128k,4,bf16,32771,512,1024,3.0,iid,1.8408203125,1.56396484375,0
flash,128k,4,bf16,32771,512,2048,3.0,strat,1.6748046875,1.15234375,0
flash,128k,4,bf16,32771,512,2048,3.0,iid,1.5205078125,1.087158203125,0
flash,128k,4,bf16,32771,512,4096,3.0,strat,1.396728515625,0.73046875,0
flash,128k,4,bf16,32771,512,4096,3.0,iid,1.398681640625,0.783935546875,0
flash,128k,6,fp32,32771,512,1024,3.0,strat,1.60205078125,1.379638671875,0
flash,128k,6,fp32,32771,512,1024,3.0,iid,1.708740234375,1.39453125,0
flash,128k,6,fp32,32771,512,2048,3.0,strat,1.65478515625,1.1123046875,0
flash,128k,6,fp32,32771,512,2048,3.0,iid,1.520751953125,1.005615234375,0
flash,128k,6,fp32,32771,512,4096,3.0,strat,1.355224609375,0.71630859375,0
