scenario,sweep,K,dtype,N,BS,r0_arm,op26r_cold_us_local,op26r_warm_us_local,base_cold_us_local,base_warm_us_local,radix_cold_us_local,radix_warm_us_local,speedup_vs_base_same_node_cold,speedup_vs_radix_same_node_cold
best,bs,512,bf16,32768,512,1cta,30.472,26.351,37.68,33.319,55.653,52.219,1.2365,1.8264
best,bs,512,bf16,32768,1024,1cta,48.05,42.608,59.83,54.647,97.522,89.997,1.2452,2.0296
best,bs,512,bf16,32768,2048,1cta,86.849,84.559,109.602,107.399,190.918,185.775,1.262,2.1983
best,bs,512,bf16,65536,1,mc,14.131,12.714,23.454,21.9,11.864,11.054,1.6598,0.8396
best,bs,512,bf16,65536,2,mc,14.224,12.762,23.344,21.886,13.718,12.989,1.6412,0.9644
best,bs,512,bf16,65536,4,mc,14.646,13.098,23.581,22.1,14.552,13.63,1.6101,0.9936
best,bs,512,bf16,65536,8,mc,14.808,13.248,23.642,22.096,15.032,13.937,1.5966,1.0151
best,bs,512,bf16,65536,16,mc,15.035,13.268,23.922,22.437,15.704,14.362,1.5911,1.0445
best,bs,512,bf16,65536,32,mc,15.637,13.828,24.234,22.612,18.13,16.779,1.5498,1.1594
best,bs,512,bf16,65536,64,mc,16.56,14.227,24.902,22.754,23.416,21.79,1.5037,1.414
best,bs,512,bf16,65536,128,1cta,17.891,15.147,25.931,23.178,24.792,22.758,1.4494,1.3857
best,bs,512,bf16,65536,256,1cta,26.042,22.13,42.352,38.221,46.773,43.544,1.6263,1.7961
best,bs,512,bf16,65536,512,1cta,44.858,38.801,76.064,67.651,92.062,85.149,1.6957,2.0523
best,bs,512,bf16,65536,1024,1cta,70.877,67.415,120.549,115.632,160.67,153.915,1.7008,2.2669
best,bs,512,bf16,65536,2048,1cta,129.205,125.781,223.149,218.496,312.094,305.049,1.7271,2.4155
best,bs,512,bf16,131072,1,mc,14.541,13.373,24.027,22.271,13.621,12.803,1.6524,0.9367
best,bs,512,bf16,131072,2,mc,14.723,13.426,23.866,22.258,14.579,13.833,1.621,0.9902
best,bs,512,bf16,131072,4,mc,15.174,13.771,24.112,22.444,14.904,13.877,1.589,0.9822
best,bs,512,bf16,131072,8,mc,15.429,13.919,24.333,22.495,15.328,14.128,1.5771,0.9935
best,bs,512,bf16,131072,16,mc,15.843,13.958,24.614,22.822,18.046,16.597,1.5536,1.1391
best,bs,512,bf16,131072,32,mc,18.688,16.514,25.11,22.985,23.053,21.339,1.3436,1.2336
best,bs,512,bf16,131072,64,mc,19.803,16.993,25.912,23.203,33.064,30.822,1.3085,1.6696
best,bs,512,bf16,131072,128,1cta,23.902,20.671,27.949,23.725,62.474,59.338,1.1693,2.6138
best,bs,512,bf16,131072,256,1cta,39.883,33.673,49.176,40.085,121.283,116.04,1.233,3.041
best,bs,512,bf16,131072,512,1cta,78.941,63.61,102.262,89.375,210.016,207.849,1.2954,2.6604
best,bs,512,bf16,131072,1024,1cta,116.701,107.37,155.413,140.935,415.91,413.933,1.3317,3.5639
best,bs,512,bf16,131072,2048,1cta,212.312,203.739,265.582,252.114,827.17,826.566,1.2509,3.896
best,bs,512,bf16,262144,1,mc,17.808,16.49,35.334,33.615,13.803,13.05,1.9842,0.7751
best,bs,512,bf16,262144,2,mc,18.04,16.567,35.31,33.62,13.994,13.094,1.9573,0.7757
best,bs,512,bf16,262144,4,mc,18.424,16.893,35.741,33.805,15.136,14.017,1.9399,0.8215
best,bs,512,bf16,262144,8,mc,18.715,17.069,35.912,33.827,17.76,16.392,1.9189,0.949
best,bs,512,bf16,262144,16,mc,19.23,17.126,36.347,34.184,23.038,21.366,1.8901,1.198
best,bs,512,bf16,262144,32,mc,25.072,22.47,37.04,34.373,32.893,30.667,1.4773,1.3119
best,bs,512,bf16,262144,64,mc,26.555,23.028,38.269,34.612,62.222,58.988,1.4411,2.3431
best,bs,512,bf16,262144,128,1cta,38.194,32.266,44.754,35.249,113.874,106.445,1.1718,2.9815
best,bs,512,bf16,262144,256,1cta,72.734,64.525,96.539,84.984,223.467,220.064,1.3273,3.0724
best,bs,512,bf16,262144,512,1cta,128.627,116.648,190.008,157.274,405.007,401.439,1.4772,3.1487
best,bs,512,bf16,262144,1024,1cta,212.771,201.468,303.28,276.7,771.188,768.058,1.4254,3.6245
best,bs,512,bf16,262144,2048,1cta,388.617,377.758,541.009,524.949,1538.621,1535.8,1.3921,3.9592
best,bs,512,bf16,524288,2,mc,24.014,22.418,60.859,58.101,14.534,13.368,2.5343,0.6052
best,bs,512,bf16,524288,4,mc,24.483,22.751,60.594,58.367,16.913,15.852,2.4749,0.6908
best,bs,512,bf16,524288,8,mc,24.915,22.934,61.059,58.407,22.136,20.6,2.4507,0.8885
best,bs,512,bf16,524288,16,mc,25.331,23.007,61.574,58.721,31.32,29.194,2.4308,1.2364
best,bs,512,bf16,524288,32,mc,37.15,33.805,62.518,58.938,59.101,56.104,1.6829,1.5909
best,bs,512,bf16,524288,64,mc,42.539,34.397,66.376,59.234,115.249,109.937,1.5604,2.7093
best,bs,512,bf16,1048576,2,mc,36.962,35.089,112.232,109.004,16.907,15.693,3.0364,0.4574
best,bs,512,bf16,1048576,4,mc,37.381,35.337,112.616,109.387,22.389,20.797,3.0127,0.5989
best,bs,512,bf16,1048576,8,mc,37.898,35.586,112.749,109.373,32.36,30.186,2.9751,0.8539
best,bs,512,bf16,1048576,16,mc,38.555,35.664,113.675,109.718,61.23,57.93,2.9484,1.5881
best,bs,512,bf16,1048576,32,mc,64.026,57.897,115.889,109.919,119.445,113.562,1.81,1.8656
best,bs,512,bf16,1048576,64,mc,82.11,73.684,133.779,126.011,218.099,215.317,1.6293,2.6562
best,bs,512,fp16,4096,1,plain,11.163,9.837,11.102,9.779,5.205,4.333,0.9945,0.4663
best,bs,512,fp16,4096,2,plain,10.886,9.858,10.893,9.779,5.088,4.356,1.0006,0.4674
best,bs,512,fp16,4096,4,plain,11.045,9.962,11.085,9.909,5.11,4.391,1.0036,0.4627
best,bs,512,fp16,4096,8,plain,11.182,9.989,11.08,9.936,5.157,4.408,0.9909,0.4612
