model,K,dtype,layer,hit_rate,op,us_cold,us_warm,vdiff,recall,n_neg
flash,512,fp16,6,0.5039,radix_cutedsl,11.734,10.587,0.0,1.0,0
flash,512,fp16,6,0.5039,radix_multi_cuda,38.626,35.254,0.0,1.0,0
flash,512,fp16,6,0.5039,radix_single_cuda,22.005,20.265,0.0,1.0,0
flash,512,fp16,8,0.4414,gvr_cutedsl,17.243,15.209,0.0,1.0,0
flash,512,fp16,8,0.4414,gvr_multicta_cutedsl,15.438,13.629,0.0,1.0,0
flash,512,fp16,8,0.4414,op21_legacy,21.726,19.106,0.0,1.0,0
flash,512,fp16,8,0.4414,op26_1cta,17.299,15.176,0.0,1.0,0
flash,512,fp16,8,0.4414,op26_mc,15.467,13.596,0.0,1.0,0
flash,512,fp16,8,0.4414,op26_r0auto,22.341,20.550,0.0,1.0,0
flash,512,fp16,8,0.4414,op27_hls,22.146,19.064,0.0,1.0,0
flash,512,fp16,8,0.4414,radix_cutedsl,12.067,10.949,0.0,1.0,0
flash,512,fp16,8,0.4414,radix_multi_cuda,38.762,35.382,0.0,1.0,0
flash,512,fp16,8,0.4414,radix_single_cuda,22.616,20.355,0.0,1.0,0
flash,512,fp16,10,0.3008,gvr_cutedsl,23.139,20.577,0.0,1.0,0
flash,512,fp16,10,0.3008,gvr_multicta_cutedsl,21.186,18.755,0.0,1.0,0
flash,512,fp16,10,0.3008,op21_legacy,22.942,19.541,0.0,1.0,0
flash,512,fp16,10,0.3008,op26_1cta,22.976,20.479,0.0,1.0,0
flash,512,fp16,10,0.3008,op26_mc,21.240,18.751,0.0,1.0,0
flash,512,fp16,10,0.3008,op26_r0auto,14.981,12.694,0.0,1.0,0
flash,512,fp16,10,0.3008,op27_hls,23.530,19.544,0.0,1.0,0
flash,512,fp16,10,0.3008,radix_cutedsl,11.432,10.571,0.0,1.0,0
flash,512,fp16,10,0.3008,radix_multi_cuda,38.034,34.940,0.0,1.0,0
flash,512,fp16,10,0.3008,radix_single_cuda,22.114,19.802,0.0,1.0,0
flash,512,fp16,12,0.3848,gvr_cutedsl,20.730,18.212,0.0,1.0,0
flash,512,fp16,12,0.3848,gvr_multicta_cutedsl,18.552,16.509,0.0,1.0,0
flash,512,fp16,12,0.3848,op21_legacy,22.826,19.490,0.0,1.0,0
flash,512,fp16,12,0.3848,op26_1cta,20.739,18.208,0.0,1.0,0
flash,512,fp16,12,0.3848,op26_mc,18.797,16.502,0.0,1.0,0
flash,512,fp16,12,0.3848,op26_r0auto,24.171,21.914,0.0,1.0,0
flash,512,fp16,12,0.3848,op27_hls,23.538,19.478,0.0,1.0,0
flash,512,fp16,12,0.3848,radix_cutedsl,11.554,10.547,0.0,1.0,0
flash,512,fp16,12,0.3848,radix_multi_cuda,38.069,34.574,0.0,1.0,0
flash,512,fp16,12,0.3848,radix_single_cuda,21.707,19.527,0.0,1.0,0
flash,512,fp16,14,0.1484,gvr_cutedsl,16.485,14.245,0.0,1.0,0
flash,512,fp16,14,0.1484,gvr_multicta_cutedsl,15.066,12.723,0.0,1.0,0
flash,512,fp16,14,0.1484,op21_legacy,24.845,21.770,0.0,1.0,0
flash,512,fp16,14,0.1484,op26_1cta,16.502,14.218,0.0,1.0,0
flash,512,fp16,14,0.1484,op26_mc,15.090,12.704,0.0,1.0,0
flash,512,fp16,14,0.1484,op26_r0auto,15.078,13.125,0.0,1.0,0
flash,512,fp16,14,0.1484,op27_hls,25.400,21.775,0.0,1.0,0
flash,512,fp16,14,0.1484,radix_cutedsl,11.550,10.822,0.0,1.0,0
flash,512,fp16,14,0.1484,radix_multi_cuda,37.798,34.505,0.0,1.0,0
flash,512,fp16,14,0.1484,radix_single_cuda,22.141,20.058,0.0,1.0,0
flash,512,fp16,16,0.3301,gvr_cutedsl,13.509,11.161,0.0,1.0,0
flash,512,fp16,16,0.3301,gvr_multicta_cutedsl,12.112,9.651,0.0,1.0,0
flash,512,fp16,16,0.3301,op21_legacy,23.077,19.957,0.0,1.0,0
flash,512,fp16,16,0.3301,op26_1cta,13.498,11.129,0.0,1.0,0
flash,512,fp16,16,0.3301,op26_mc,12.166,9.654,0.0,1.0,0
flash,512,fp16,16,0.3301,op26_r0auto,13.901,11.810,0.0,1.0,0
flash,512,fp16,16,0.3301,op27_hls,23.734,19.936,0.0,1.0,0
flash,512,fp16,16,0.3301,radix_cutedsl,11.726,10.747,0.0,1.0,0
flash,512,fp16,16,0.3301,radix_multi_cuda,38.315,35.141,0.0,1.0,0
flash,512,fp16,16,0.3301,radix_single_cuda,21.701,19.735,0.0,1.0,0
flash,512,fp16,18,0.4199,gvr_cutedsl,12.702,10.511,0.0,1.0,0
flash,512,fp16,18,0.4199,gvr_multicta_cutedsl,11.250,8.923,0.0,1.0,0
flash,512,fp16,18,0.4199,op21_legacy,21.600,18.491,0.0,1.0,0
flash,512,fp16,18,0.4199,op26_1cta,12.776,10.532,0.0,1.0,0
flash,512,fp16,18,0.4199,op26_mc,11.219,8.892,0.0,1.0,0
flash,512,fp16,18,0.4199,op26_r0auto,19.069,17.174,0.0,1.0,0
flash,512,fp16,18,0.4199,op27_hls,22.018,18.470,0.0,1.0,0
flash,512,fp16,18,0.4199,radix_cutedsl,12.384,11.434,0.0,1.0,0
flash,512,fp16,18,0.4199,radix_multi_cuda,38.688,35.580,0.0,1.0,0
flash,512,fp16,18,0.4199,radix_single_cuda,22.565,20.533,0.0,1.0,0
flash,512,fp16,20,0.5547,gvr_cutedsl,19.210,16.418,0.0,1.0,0
flash,512,fp16,20,0.5547,gvr_multicta_cutedsl,17.546,15.096,0.0,1.0,0
flash,512,fp16,20,0.5547,op21_legacy,24.494,21.112,0.0,1.0,0
flash,512,fp16,20,0.5547,op26_1cta,18.896,16.409,0.0,1.0,0
flash,512,fp16,20,0.5547,op26_mc,17.557,15.099,0.0,1.0,0
flash,512,fp16,20,0.5547,op26_r0auto,17.451,15.222,0.0,1.0,0
flash,512,fp16,20,0.5547,op27_hls,25.224,21.089,0.0,1.0,0
flash,512,fp16,20,0.5547,radix_cutedsl,11.707,10.988,0.0,1.0,0
flash,512,fp16,20,0.5547,radix_multi_cuda,38.590,35.771,0.0,1.0,0
flash,512,fp16,20,0.5547,radix_single_cuda,21.690,19.784,0.0,1.0,0
flash,512,fp16,22,0.2598,gvr_cutedsl,18.442,16.074,0.0,1.0,0
flash,512,fp16,22,0.2598,gvr_multicta_cutedsl,17.029,14.513,0.0,1.0,0
flash,512,fp16,22,0.2598,op21_legacy,23.678,20.406,0.0,1.0,0
flash,512,fp16,22,0.2598,op26_1cta,18.376,16.061,0.0,1.0,0
flash,512,fp16,22,0.2598,op26_mc,17.016,14.519,0.0,1.0,0
flash,512,fp16,22,0.2598,op26_r0auto,15.499,13.465,0.0,1.0,0
flash,512,fp16,22,0.2598,op27_hls,24.320,20.412,0.0,1.0,0
flash,512,fp16,22,0.2598,radix_cutedsl,11.637,10.728,0.0,1.0,0
