scenario,K,N,arm,us_cold,us_warm
worst,1024,8192,flashinfer_topk,11.3216,10.60352
worst,1024,16384,gvr_cutedsl,10.9472,9.46944
worst,1024,16384,radix_cutedsl,11.7456,10.964459999999999
worst,1024,16384,gvr_multicta_cutedsl,10.9296,9.47136
worst,1024,16384,radix_single_cuda,21.08,18.36544
worst,1024,16384,radix_multi_cuda,38.88955,34.69242
worst,1024,16384,op27_hls,14.875200000000001,13.67292
worst,1024,16384,op26_r0auto,10.312,8.742379999999999
worst,1024,16384,sglang_v2,7.5088,6.44158
worst,1024,16384,flashinfer_topk,12.30875,11.37344
worst,1024,32768,gvr_cutedsl,17.0544,15.20894
worst,1024,32768,radix_cutedsl,19.827150000000003,18.99324
worst,1024,32768,gvr_multicta_cutedsl,17.08795,15.19932
worst,1024,32768,radix_single_cuda,27.8048,23.14812
worst,1024,32768,radix_multi_cuda,40.17435,35.91164
worst,1024,32768,op27_hls,19.16955,17.612119999999997
worst,1024,32768,op26_r0auto,11.8864,9.9136
worst,1024,32768,sglang_v2,11.40635,9.07008
worst,1024,32768,flashinfer_topk,11.588799999999999,10.95614
worst,1024,65536,gvr_cutedsl,19.576,17.44316
worst,1024,65536,radix_cutedsl,19.94555,18.9939
worst,1024,65536,gvr_multicta_cutedsl,18.23355,16.1376
worst,1024,65536,radix_single_cuda,44.7263,35.67738
worst,1024,65536,radix_multi_cuda,42.171150000000004,38.0454
worst,1024,65536,op27_hls,20.67675,19.08796
worst,1024,65536,op26_r0auto,14.4048,12.50112
worst,1024,65536,sglang_v2,10.58875,9.43038
worst,1024,65536,flashinfer_topk,13.30875,12.368
worst,1024,131072,gvr_cutedsl,21.6816,19.17628
worst,1024,131072,radix_cutedsl,19.846400000000003,19.081580000000002
worst,1024,131072,gvr_multicta_cutedsl,15.686399999999999,14.228459999999998
worst,1024,131072,radix_single_cuda,72.59514999999999,55.0598
worst,1024,131072,radix_multi_cuda,45.09275,40.592580000000005
worst,1024,131072,op27_hls,20.76635,18.84606
worst,1024,131072,op26_r0auto,14.96475,13.5648
worst,1024,131072,sglang_v2,12.361600000000001,10.81664
worst,1024,131072,flashinfer_topk,15.284799999999999,13.76574
worst,1024,262144,gvr_cutedsl,31.86235,28.26044
worst,1024,262144,radix_cutedsl,19.8496,19.23132
worst,1024,262144,gvr_multicta_cutedsl,18.45915,16.55228
worst,1024,262144,radix_single_cuda,130.11025,95.51732000000001
worst,1024,262144,radix_multi_cuda,48.86715,42.82682
worst,1024,262144,op27_hls,23.223950000000002,21.4361
worst,1024,262144,op26_r0auto,18.3792,16.7539
worst,1024,262144,sglang_v2,16.2623,13.88926
worst,1024,262144,flashinfer_topk,19.771150000000002,17.03614
worst,1024,524288,gvr_cutedsl,52.0144,46.326339999999995
worst,1024,524288,radix_cutedsl,19.79995,18.99774
worst,1024,524288,gvr_multicta_cutedsl,23.5375,20.95034
worst,1024,524288,radix_single_cuda,244.49405,176.68328
worst,1024,524288,radix_multi_cuda,64.48315,54.7404
worst,1024,524288,op27_hls,33.1631,31.61788
worst,1024,524288,op26_r0auto,24.7439,22.49152
worst,1024,524288,sglang_v2,22.8592,19.143639999999998
worst,1024,524288,flashinfer_topk,27.82075,23.07712
worst,1024,1048576,gvr_cutedsl,93.8575,85.05014
worst,1024,1048576,radix_cutedsl,20.52475,19.26462
worst,1024,1048576,gvr_multicta_cutedsl,35.45115,31.898220000000002
worst,1024,1048576,radix_single_cuda,473.30175,337.43703999999997
worst,1024,1048576,radix_multi_cuda,89.0047,70.65464
worst,1024,1048576,op27_hls,42.76155,41.32732
worst,1024,1048576,op26_r0auto,36.69275,33.91164
worst,1024,1048576,sglang_v2,33.8048,27.248639999999998
worst,1024,1048576,flashinfer_topk,39.69755,30.69436
worst,2048,8192,gvr_cutedsl,13.11205,11.73632
worst,2048,8192,radix_cutedsl,8.0624,7.35296
worst,2048,8192,gvr_multicta_cutedsl,13.1712,11.74724
worst,2048,8192,radix_single_cuda,16.638450000000002,15.0637
worst,2048,8192,radix_multi_cuda,24.02245,21.462439999999997
worst,2048,8192,op27_hls,11.84965,10.56068
worst,2048,8192,op26_r0auto,9.8304,8.42498
worst,2048,8192,sglang_v2,5.7168,4.72448
worst,2048,8192,flashinfer_topk,11.736049999999999,11.05796
worst,2048,16384,gvr_cutedsl,13.2352,11.63202
worst,2048,16384,radix_cutedsl,11.63365,11.01696
worst,2048,16384,gvr_multicta_cutedsl,13.2416,11.625620000000001
worst,2048,16384,radix_single_cuda,20.542450000000002,17.99106
worst,2048,16384,radix_multi_cuda,26.462400000000002,24.07298
worst,2048,16384,op27_hls,14.542399999999999,12.95298
worst,2048,16384,op26_r0auto,11.220799999999999,9.5181
worst,2048,16384,sglang_v2,7.896,6.845479999999999
worst,2048,16384,flashinfer_topk,11.7552,10.664959999999999
worst,2048,32768,gvr_cutedsl,13.98725,12.34434
worst,2048,32768,radix_cutedsl,19.97765,19.2359
worst,2048,32768,gvr_multicta_cutedsl,14.08165,12.3232
