scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
best,512,fp32,131072,128,38.352,25.853,25.435,20.872,25.93,21.297,103.789,97.086,38.234,25.865,47.722,43.82,1.5078,1.4791,0.3695,1.0031,0.8037,1
best,512,fp32,131072,256,88.099,76.895,70.331,60.323,70.507,60.37,201.748,196.133,83.554,72.313,75.783,72.55,1.2526,1.2495,0.4367,1.0544,1.1625,1
best,512,fp32,131072,512,179.967,156.688,139.877,120.503,138.73,120.801,365.289,360.639,151.235,140.865,139.453,136.341,1.2866,1.2972,0.4927,1.19,1.2905,1
best,512,fp32,131072,1024,286.759,270.32,210.519,196.444,212.22,197.274,697.4,693.395,277.062,270.949,234.522,231.272,1.3622,1.3512,0.4112,1.035,1.2227,1
best,512,fp32,131072,2048,521.014,512.491,377.452,361.6,378.098,362.506,1381.379,1376.326,519.945,517.456,452.754,449.251,1.3803,1.378,0.3772,1.0021,1.1508,1
best,512,fp32,262144,1,37.293,33.739,18.021,16.43,17.498,16.061,19.096,18.43,19.971,18.248,78.083,77.884,2.0694,2.1313,1.9529,1.8674,0.4776,4
best,512,fp32,262144,2,37.235,33.752,18.435,16.683,17.877,16.171,19.451,18.685,20.124,18.209,78.018,78.08,2.0198,2.0828,1.9143,1.8503,0.4773,4
best,512,fp32,262144,4,37.36,33.738,18.717,16.942,18.053,16.568,20.64,19.475,20.346,18.19,77.903,78.078,1.996,2.0695,1.8101,1.8362,0.4796,4
best,512,fp32,262144,8,37.6,33.756,18.922,17.172,18.454,16.756,24.462,22.779,20.834,18.344,77.973,78.131,1.9871,2.0375,1.5371,1.8047,0.4822,4
best,512,fp32,262144,16,38.251,34.028,19.467,17.297,18.914,16.748,31.192,28.868,22.206,18.621,78.17,78.386,1.9649,2.0224,1.2263,1.7226,0.4893,4
best,512,fp32,262144,32,39.651,34.219,20.955,17.802,20.275,17.374,59.104,55.74,30.094,25.163,78.581,78.632,1.8922,1.9557,0.6709,1.3176,0.5046,2
best,512,fp32,262144,64,49.053,34.645,35.186,32.054,35.403,32.479,115.095,109.193,38.711,25.977,80.107,78.81,1.3941,1.3856,0.4262,1.2672,0.6123,2
best,512,fp32,262144,128,82.127,71.119,38.914,34.764,39.667,35.333,192.916,186.608,82.063,71.077,84.643,79.997,2.1105,2.0704,0.4257,1.0008,0.9703,1
best,512,fp32,262144,256,151.565,137.0,118.672,106.512,118.864,106.461,340.155,334.134,152.188,130.109,135.453,131.688,1.2772,1.2751,0.4456,0.9959,1.1189,1
best,512,fp32,262144,512,316.378,294.062,249.519,215.774,248.162,215.65,672.334,666.452,278.689,261.005,254.028,249.257,1.268,1.2749,0.4706,1.1352,1.2454,1
best,512,fp32,262144,1024,529.387,513.827,388.369,371.007,388.998,371.695,1329.847,1324.122,520.905,508.406,429.53,424.661,1.3631,1.3609,0.3981,1.0163,1.2325,1
best,512,fp32,262144,2048,965.402,943.512,684.025,662.039,682.229,663.06,2624.395,2619.04,976.323,958.09,838.752,830.14,1.4114,1.4151,0.3679,0.9888,1.151,1
best,512,fp32,524288,2,65.352,59.57,24.055,22.085,23.299,21.855,20.126,18.807,28.21,25.622,148.056,149.603,2.7168,2.8049,3.2471,2.3166,0.4414,4
best,512,fp32,524288,4,65.389,59.553,24.622,22.696,23.896,22.314,23.706,21.903,28.529,25.593,148.013,149.602,2.6557,2.7364,2.7583,2.292,0.4418,4
best,512,fp32,524288,8,65.77,59.627,24.795,22.81,24.282,22.636,30.475,27.978,29.49,25.805,148.139,149.613,2.6526,2.7086,2.1582,2.2302,0.444,4
