scenario,sweep,K,dtype,N,BS,op,radix_cold_us_local,radix_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,512,bf16,131072,256,radix_multi_cuda,122.121,115.355,49.494,40.02,0.4053
best,bs,512,bf16,131072,512,radix_multi_cuda,209.36,205.252,102.58,90.142,0.49
best,bs,512,bf16,131072,1024,radix_multi_cuda,391.235,386.15,155.024,140.639,0.3962
best,bs,512,bf16,131072,2048,radix_multi_cuda,757.252,754.64,266.34,252.867,0.3517
best,bs,512,bf16,262144,1,radix_multi_cuda,45.166,41.091,36.096,34.16,0.7992
best,bs,512,bf16,262144,2,radix_multi_cuda,45.315,40.831,35.832,34.165,0.7907
best,bs,512,bf16,262144,4,radix_multi_cuda,45.089,41.04,35.926,34.221,0.7968
best,bs,512,bf16,262144,8,radix_multi_cuda,44.786,40.917,36.276,34.316,0.81
best,bs,512,bf16,262144,16,radix_multi_cuda,45.966,42.674,36.524,34.295,0.7946
best,bs,512,bf16,262144,32,radix_multi_cuda,55.208,52.541,37.067,34.423,0.6714
best,bs,512,bf16,262144,64,radix_multi_cuda,82.626,79.133,38.315,34.727,0.4637
best,bs,512,bf16,262144,128,radix_multi_cuda,92.923,86.785,44.596,35.149,0.4799
best,bs,512,bf16,262144,256,radix_multi_cuda,177.457,169.598,96.389,85.201,0.5432
best,bs,512,bf16,262144,512,radix_multi_cuda,295.719,288.49,189.841,157.384,0.642
best,bs,512,bf16,262144,1024,radix_multi_cuda,543.382,538.059,303.674,276.822,0.5589
best,bs,512,bf16,262144,2048,radix_multi_cuda,1064.789,1059.194,540.713,525.389,0.5078
best,bs,512,bf16,524288,2,radix_multi_cuda,51.626,46.13,61.454,58.653,1.1904
best,bs,512,bf16,524288,4,radix_multi_cuda,51.802,46.226,61.281,58.779,1.183
best,bs,512,bf16,524288,8,radix_multi_cuda,51.934,46.521,61.49,58.83,1.184
best,bs,512,bf16,524288,16,radix_multi_cuda,54.341,49.327,61.614,58.849,1.1338
best,bs,512,bf16,524288,32,radix_multi_cuda,67.308,63.783,62.514,58.96,0.9288
best,bs,512,bf16,524288,64,radix_multi_cuda,104.73,98.377,66.686,59.334,0.6367
best,bs,512,bf16,1048576,2,radix_multi_cuda,69.897,60.831,112.783,109.649,1.6136
