model,isl,dtype,BS,N,hit,gvr_base,gvr_pr,op26_r0auto,radix_cutedsl,sglang_v2,flashinfer_topk
flash,512k,fp32,4,131075,0.056640625,44.081050000000005,20.825200000000002,23.138849999999998,20.404799999999998,13.827200000000001,19.08
flash,512k,fp32,8,131075,0.056640625,52.12725,23.25245,23.5133,21.1312,14.1072,19.4176
flash,512k,fp32,16,131075,0.056640625,53.20575,23.70845,24.262,24.768,15.8448,25.372799999999998
flash,512k,fp32,32,131075,0.056640625,55.01685,25.0284,29.9052,58.5168,28.3696,27.828799999999998
flash,512k,fp32,64,131075,0.056640625,71.4087,34.260349999999995,34.3307,86.6752,34.32155,40.651199999999996
flash,512k,fp32,128,131075,0.056640625,92.42755,44.9834,51.7593,106.4976,40.0272,72.096
flash,512k,fp32,256,131075,0.056640625,347.86575,114.95519999999999,152.7755,207.5472,62.91355,145.58079999999998
flash,512k,fp32,512,131075,0.056640625,627.6732,207.09005,293.6424,374.81759999999997,110.55355,267.7024
flash,512k,fp32,1024,131075,0.056640625,1266.4661999999998,386.8078,499.14845,711.8927,194.9537,487.8912
flash,64k,bf16,1,16387,0.076171875,12.19185,11.811200000000001,13.32145,13.9216,,8.945649999999999
flash,64k,bf16,2,16387,0.076171875,12.0736,11.5776,13.1182,14.0432,,8.99685
flash,64k,bf16,4,16387,0.076171875,12.12,11.5967,13.14355,14.6736,,8.98085
flash,64k,bf16,8,16387,0.076171875,12.1503,11.5981,13.2912,14.92,,9.13125
flash,64k,bf16,16,16387,0.076171875,12.5518,11.9647,13.641350000000001,15.16005,,11.2928
flash,64k,bf16,32,16387,0.076171875,12.72955,12.1166,13.77875,15.284799999999999,,11.72965
flash,64k,bf16,64,16387,0.076171875,12.91675,12.366,14.05875,10.510399999999999,,11.43525
flash,64k,bf16,128,16387,0.076171875,13.44625,12.881450000000001,14.62235,11.076799999999999,,13.345600000000001
flash,64k,bf16,256,16387,0.076171875,17.7806,16.4127,18.19335,19.61925,,15.0881
flash,64k,bf16,512,16387,0.076171875,29.9709,28.2573,31.67485,36.316900000000004,,26.77925
flash,64k,bf16,1024,16387,0.076171875,46.3979,43.517900000000004,49.28905,61.7249,,45.020900000000005
flash,64k,fp16,1,16387,0.076171875,13.07995,12.00145,14.14875,13.9264,,8.667200000000001
flash,64k,fp16,2,16387,0.076171875,13.0863,12.0159,14.1294,13.9744,,8.896
flash,64k,fp16,4,16387,0.076171875,13.0223,11.8832,14.006350000000001,14.23845,,9.2448
flash,64k,fp16,8,16387,0.076171875,13.06225,11.883149999999999,14.107149999999999,14.8672,,9.35365
flash,64k,fp16,16,16387,0.076171875,13.1279,11.926350000000001,14.0703,15.1856,,11.23525
flash,64k,fp16,32,16387,0.076171875,13.108649999999999,11.964799999999999,14.09435,15.2448,,11.848
flash,64k,fp16,64,16387,0.076171875,13.3919,12.2271,14.45265,10.507200000000001,,11.377600000000001
flash,64k,fp16,128,16387,0.076171875,13.780700000000001,12.65265,14.924700000000001,10.9984,,13.4
flash,64k,fp16,256,16387,0.076171875,18.52,16.15025,18.68945,19.616,,15.48165
flash,64k,fp16,512,16387,0.076171875,31.338900000000002,27.75175,31.99655,36.1952,,27.3888
flash,64k,fp16,1024,16387,0.076171875,48.31815,42.731199999999994,49.745050000000006,61.77285,,46.011199999999995
flash,64k,fp32,1,16387,0.076171875,14.758149999999999,11.8139,12.15935,16.0176,8.5936,11.9775
flash,64k,fp32,2,16387,0.076171875,14.865450000000001,12.006350000000001,12.13735,19.35355,8.6623,12.0911
flash,64k,fp32,4,16387,0.076171875,14.62215,11.743649999999999,12.1119,19.7984,8.664,12.13435
flash,64k,fp32,8,16387,0.076171875,14.5853,11.6588,11.97565,19.66075,8.6592,12.279950000000001
flash,64k,fp32,16,16387,0.076171875,14.9454,11.99175,12.2638,20.25275,8.763200000000001,14.92315
flash,64k,fp32,32,16387,0.076171875,14.96135,12.05115,12.4816,20.6672,8.8992,15.5743
flash,64k,fp32,64,16387,0.076171875,15.35825,12.4653,12.77035,13.57595,9.23035,15.26875
flash,64k,fp32,128,16387,0.076171875,16.33895,13.3613,13.7663,14.361600000000001,9.9088,17.335900000000002
flash,64k,fp32,256,16387,0.076171875,22.06535,17.56295,20.31175,26.047900000000002,13.003200000000001,17.582349999999998
flash,64k,fp32,512,16387,0.076171875,39.753099999999996,31.703599999999998,37.90025,49.156800000000004,23.20315,31.24155
