model,isl,L,K,npad,h,onepass6,onepass8,best_c
v32,256k,24,2048,163776,0.752,1,1,2777
v32,256k,25,2048,163776,0.879,1,1,4089
v32,256k,26,2048,163776,0.780,1,1,2625
v32,256k,27,2048,163776,0.821,1,1,2288
v32,256k,28,2048,163776,0.867,1,1,2084
v32,256k,29,2048,163776,0.792,1,1,2540
v32,256k,30,2048,163776,0.865,1,1,2095
v32,256k,31,2048,163776,0.851,1,1,2154
v32,256k,32,2048,163776,0.841,1,1,2235
v32,256k,33,2048,163776,0.806,1,1,2441
v32,256k,34,2048,163776,0.865,1,1,2109
v32,256k,35,2048,163776,0.829,1,1,2311
v32,256k,36,2048,163776,0.875,1,1,6058
v32,256k,37,2048,163776,0.872,1,1,2066
v32,256k,38,2048,163776,0.917,1,1,3959
v32,256k,39,2048,163776,0.891,1,1,4040
v32,256k,40,2048,163776,0.815,1,1,2356
v32,256k,41,2048,163776,0.854,1,1,2130
v32,256k,42,2048,163776,0.870,1,1,2072
v32,256k,43,2048,163776,0.889,1,1,4065
v32,256k,44,2048,163776,0.827,1,1,2296
v32,256k,45,2048,163776,0.816,1,1,2374
v32,256k,46,2048,163776,0.886,1,1,5411
v32,256k,47,2048,163776,0.917,1,1,3398
v32,256k,48,2048,163776,0.762,1,1,3077
v32,256k,49,2048,163776,0.874,1,1,2050
v32,256k,50,2048,163776,0.857,1,1,2157
v32,256k,51,2048,163776,0.895,1,1,5614
v32,256k,52,2048,163776,0.845,1,1,2232
v32,256k,53,2048,163776,0.821,1,1,2381
v32,256k,54,2048,163776,0.865,1,1,2106
v32,256k,55,2048,163776,0.909,1,1,6141
v32,256k,56,2048,163776,0.874,1,1,2053
v32,256k,57,2048,163776,0.863,1,1,2102
v32,256k,58,2048,163776,0.807,1,1,2424
v32,256k,59,2048,163776,0.848,1,1,2165
v32,256k,60,2048,163776,0.770,1,1,2614
v32,32k,3,2048,32832,0.839,1,1,2223
v32,32k,4,2048,32832,0.693,1,1,2400
v32,32k,5,2048,32832,0.767,1,1,2854
v32,32k,6,2048,32832,0.833,1,1,2278
v32,32k,7,2048,32832,0.733,1,1,2128
v32,32k,8,2048,32832,0.738,1,1,2105
v32,32k,9,2048,32832,0.804,1,1,2485
v32,32k,10,2048,32832,0.771,1,1,2763
v32,32k,11,2048,32832,0.720,1,1,2233
v32,32k,12,2048,32832,0.758,1,1,2751
v32,32k,13,2048,32832,0.731,1,1,2153
v32,32k,14,2048,32832,0.758,1,1,2909
v32,32k,15,2048,32832,0.758,1,1,2972
v32,32k,16,2048,32832,0.713,1,1,2245
v32,32k,17,2048,32832,0.458,1,1,2401
v32,32k,18,2048,32832,0.739,1,1,2112
v32,32k,19,2048,32832,0.736,1,1,2120
v32,32k,20,2048,32832,0.398,1,1,2981
v32,32k,21,2048,32832,0.521,1,1,3001
v32,32k,22,2048,32832,0.762,1,1,2684
v32,32k,23,2048,32832,0.481,1,1,2155
v32,32k,24,2048,32832,0.543,1,1,2744
v32,32k,25,2048,32832,0.620,1,1,2070
v32,32k,26,2048,32832,0.527,1,1,2915
v32,32k,27,2048,32832,0.479,1,1,2230
v32,32k,28,2048,32832,0.546,1,1,2671
v32,32k,29,2048,32832,0.375,1,1,3485
v32,32k,30,2048,32832,0.508,1,1,3002
v32,32k,31,2048,32832,0.424,1,1,2858
v32,32k,32,2048,32832,0.396,1,1,3295
v32,32k,33,2048,32832,0.238,1,1,2196
v32,32k,34,2048,32832,0.429,1,1,2732
v32,32k,35,2048,32832,0.499,1,1,2054
v32,32k,36,2048,32832,0.602,1,1,2183
v32,32k,37,2048,32832,0.542,1,1,2753
v32,32k,38,2048,32832,0.527,1,1,2853
v32,32k,39,2048,32832,0.406,1,1,2962
v32,32k,40,2048,32832,0.545,1,1,2697
v32,32k,41,2048,32832,0.462,1,1,2360
v32,32k,42,2048,32832,0.516,1,1,2945
v32,32k,43,2048,32832,0.304,1,1,2796
v32,32k,44,2048,32832,0.593,1,1,2254
v32,32k,45,2048,32832,0.365,1,1,2216
v32,32k,46,2048,32832,0.191,1,1,2906
v32,32k,47,2048,32832,0.437,1,1,2583
v32,32k,48,2048,32832,0.479,1,1,2217
v32,32k,49,2048,32832,0.495,1,1,2083
v32,32k,50,2048,32832,0.379,1,1,3432
v32,32k,51,2048,32832,0.537,1,1,2756
v32,32k,52,2048,32832,0.634,1,1,3034
v32,32k,53,2048,32832,0.733,1,1,2141
v32,32k,54,2048,32832,0.512,1,1,3020
v32,32k,55,2048,32832,0.468,1,1,2290
v32,32k,56,2048,32832,0.653,1,1,2788
v32,32k,57,2048,32832,0.650,1,1,2668
v32,32k,58,2048,32832,0.811,1,1,2358
v32,32k,59,2048,32832,0.738,1,1,2109
v32,32k,60,2048,32832,0.819,1,1,2377
v32,64k,3,2048,65600,0.826,1,1,2353
v32,64k,4,2048,65600,0.729,1,1,2159
v32,64k,5,2048,65600,0.887,1,1,4871
v32,64k,6,2048,65600,0.875,1,1,2048
v32,64k,7,2048,65600,0.875,1,1,4501
v32,64k,8,2048,65600,0.867,1,1,2074
v32,64k,9,2048,65600,0.745,1,1,2080
v32,64k,10,2048,65600,0.802,1,1,2415
v32,64k,11,2048,65600,0.777,1,1,2510
v32,64k,12,2048,65600,0.900,1,1,4423
v32,64k,13,2048,65600,0.878,1,1,4903
v32,64k,14,2048,65600,0.854,1,1,2161
v32,64k,15,2048,65600,0.829,1,1,2301
v32,64k,16,2048,65600,0.867,1,1,2085
v32,64k,17,2048,65600,0.514,1,1,3260
v32,64k,18,2048,65600,0.886,1,1,4590
v32,64k,19,2048,65600,0.733,1,1,2137
v32,64k,20,2048,65600,0.485,1,1,2173
v32,64k,21,2048,65600,0.478,1,1,2229
v32,64k,22,2048,65600,0.694,1,1,2413
v32,64k,23,2048,65600,0.542,1,1,2606
v32,64k,24,2048,65600,0.501,1,1,3316
v32,64k,25,2048,65600,0.513,1,1,3274
v32,64k,26,2048,65600,0.358,1,1,2294
v32,64k,27,2048,65600,0.428,1,1,2762
v32,64k,28,2048,65600,0.410,1,1,3097
v32,64k,29,2048,65600,0.357,1,1,2293
v32,64k,30,2048,65600,0.479,1,1,2277
v32,64k,31,2048,65600,0.184,1,1,5264
v32,64k,32,2048,65600,0.261,0,1,4745
v32,64k,33,2048,65600,0.157,1,1,5378
v32,64k,34,2048,65600,0.406,1,1,3528
v32,64k,35,2048,65600,0.448,1,1,2678
v32,64k,36,2048,65600,0.556,1,1,2689
v32,64k,37,2048,65600,0.500,1,1,3369
v32,64k,38,2048,65600,0.511,1,1,3256
