cell,BS,champ_us,pr_us,speedup,exact
pro_4k_L46,1,4.685,9.31995,1.9892,OK
pro_4k_L46,2,4.828,9.2272,1.9111,OK
pro_4k_L46,4,4.911,9.15675,1.8644,OK
pro_4k_L46,8,4.794,9.3935,1.9596,OK
pro_4k_L46,16,5.174,9.4863,1.8336,OK
pro_4k_L46,32,5.332,9.48315,1.7784,OK
pro_4k_L46,64,5.377,9.700700000000001,1.8043,OK
pro_4k_L46,128,5.576,9.8191,1.7611,OK
pro_4k_L46,256,8.221,10.8384,1.3185,OK
pro_4k_L46,512,6.474,20.175849999999997,3.1163,OK
pro_4k_L46,1024,7.016,37.692800000000005,5.3725,OK
pro_512k_L14,1,14.883,15.7966,1.0614,OK
pro_512k_L14,2,14.997,15.8527,1.0571,OK
pro_512k_L14,4,15.385,16.01905,1.0412,OK
pro_512k_L14,8,18.544,17.2447,0.9299,OK
pro_512k_L14,16,19.096,17.75015,0.9295,OK
pro_512k_L14,32,16.552,18.99505,1.1476,OK
pro_512k_L14,64,16.479,24.434900000000003,1.4828,OK
pro_512k_L14,128,16.37,33.03475,2.018,OK
pro_512k_L14,256,16.393,65.57860000000001,4.0003,OK
pro_512k_L14,512,16.56,115.7091,6.9871,OK
pro_512k_L14,1024,16.66,207.5993,12.4612,OK
pro_512k_L30,1,16.028,16.15985,1.0082,OK
pro_512k_L30,2,16.375,16.55645,1.0111,OK
pro_512k_L30,4,16.763,16.782049999999998,1.0012,OK
pro_512k_L30,8,20.203,17.952,0.8886,OK
pro_512k_L30,16,20.86,18.4217,0.8831,OK
pro_512k_L30,32,17.771,19.728,1.1101,OK
pro_512k_L30,64,17.688,25.12445,1.4204,OK
pro_512k_L30,128,17.862,33.64105,1.8834,OK
pro_512k_L30,256,17.847,66.62780000000001,3.7333,OK
pro_512k_L30,512,17.92,117.75019999999999,6.571,OK
pro_512k_L30,1024,18.179,211.8048,11.6511,OK
pro_512k_L46,1,16.386,15.5824,0.951,OK
pro_512k_L46,2,16.223,16.0496,0.9893,OK
pro_512k_L46,4,16.55,16.31485,0.9858,OK
pro_512k_L46,8,19.817,17.4254,0.8793,OK
pro_512k_L46,16,20.416,17.89745,0.8766,OK
pro_512k_L46,32,17.721,19.28305,1.0882,OK
pro_512k_L46,64,17.739,24.499,1.3811,OK
pro_512k_L46,128,17.876,32.89095,1.8399,OK
pro_512k_L46,256,17.879,66.1755,3.7012,OK
pro_512k_L46,512,18.124,116.67755,6.4378,OK
pro_512k_L46,1024,18.219,209.23515,11.4847,OK
pro_64k_L14,1,12.488,11.8047,0.9453,OK
pro_64k_L14,2,12.497,11.7902,0.9434,OK
pro_64k_L14,4,12.526,11.915149999999999,0.9512,OK
pro_64k_L14,8,12.545,11.89095,0.9479,OK
pro_64k_L14,16,12.601,12.0671,0.9576,OK
pro_64k_L14,32,12.777,12.1775,0.953,OK
pro_64k_L14,64,13.174,12.63995,0.9595,OK
pro_64k_L14,128,14.095,13.481399999999999,0.9565,OK
pro_64k_L14,256,14.154,17.0688,1.2059,OK
pro_64k_L14,512,14.318,31.3213,2.1875,OK
pro_64k_L14,1024,14.674,57.159349999999996,3.8954,OK
pro_64k_L30,1,12.065,10.6846,0.8856,OK
pro_64k_L30,2,12.288,10.6494,0.8667,OK
pro_64k_L30,4,12.323,10.48785,0.8511,OK
pro_64k_L30,8,12.422,10.364600000000001,0.8344,OK
pro_64k_L30,16,12.447,10.72945,0.862,OK
pro_64k_L30,32,12.661,11.08145,0.8752,OK
pro_64k_L30,64,12.999,11.4894,0.8839,OK
pro_64k_L30,128,13.874,12.313450000000001,0.8875,OK
pro_64k_L30,256,14.082,15.366200000000001,1.0912,OK
pro_64k_L30,512,14.157,27.95965,1.975,OK
pro_64k_L30,1024,14.432,51.04755,3.5372,OK
pro_64k_L46,1,11.69,12.430299999999999,1.0633,OK
pro_64k_L46,2,11.779,12.5312,1.0639,OK
pro_64k_L46,4,11.901,12.19035,1.0243,OK
pro_64k_L46,8,11.917,12.09105,1.0146,OK
pro_64k_L46,16,12.342,12.43195,1.0073,OK
pro_64k_L46,32,12.585,12.6895,1.0083,OK
pro_64k_L46,64,12.962,13.13105,1.013,OK
pro_64k_L46,128,13.268,13.98705,1.0542,OK
pro_64k_L46,256,13.478,17.7374,1.316,OK
pro_64k_L46,512,13.481,32.4653,2.4082,OK
pro_64k_L46,1024,13.909,58.85705,4.2316,OK
pro_8k_L14,1,7.935,8.577399999999999,1.081,OK
pro_8k_L14,2,8.292,8.60625,1.0378,OK
pro_8k_L14,4,8.386,8.58385,1.0235,OK
pro_8k_L14,8,8.451,8.52155,1.0083,OK
pro_8k_L14,16,8.479,8.571200000000001,1.0108,OK
pro_8k_L14,32,8.539,8.64475,1.0123,OK
pro_8k_L14,64,8.767,8.9679,1.0229,OK
pro_8k_L14,128,8.955,9.13905,1.0205,OK
pro_8k_L14,256,12.674,10.399899999999999,0.8206,OK
pro_8k_L14,512,10.359,19.039849999999998,1.838,OK
pro_8k_L14,1024,10.432,34.79325,3.3353,OK
pro_8k_L30,1,7.767,8.89415,1.1451,OK
pro_8k_L30,2,7.637,8.7071,1.1401,OK
pro_8k_L30,4,7.915,8.9966,1.1366,OK
pro_8k_L30,8,7.904,8.835,1.1178,OK
pro_8k_L30,16,8.157,9.137450000000001,1.1202,OK
pro_8k_L30,32,8.306,9.2751,1.1167,OK
pro_8k_L30,64,8.47,9.4734,1.1184,OK
pro_8k_L30,128,8.631,9.63665,1.1165,OK
pro_8k_L30,256,12.251,11.2079,0.9148,OK
pro_8k_L30,512,9.164,20.6508,2.2535,OK
pro_8k_L30,1024,9.613,37.340300000000006,3.8845,OK
pro_8k_L46,1,7.747,9.0016,1.1619,OK
pro_8k_L46,2,7.873,8.816,1.1198,OK
pro_8k_L46,4,8.177,9.14075,1.1178,OK
pro_8k_L46,8,8.091,8.929549999999999,1.1036,OK
pro_8k_L46,16,8.396,9.11515,1.0856,OK
pro_8k_L46,32,8.431,9.2096,1.0924,OK
pro_8k_L46,64,8.593,9.4048,1.0945,OK
pro_8k_L46,128,8.866,9.631950000000002,1.0864,OK
pro_8k_L46,256,12.565,11.14225,0.8868,OK
pro_8k_L46,512,9.94,20.39815,2.0522,OK
pro_8k_L46,1024,10.196,37.28935,3.6571,OK
v32_128k_L14,1,23.51,20.24775,0.8613,OK
v32_128k_L14,2,23.628,20.79975,0.8803,OK
v32_128k_L14,4,24.298,20.92455,0.8612,OK
v32_128k_L14,8,28.233,22.7181,0.8047,OK
v32_128k_L14,16,28.702,23.0798,0.8041,OK
v32_128k_L14,32,25.112,24.3549,0.9699,OK
v32_128k_L14,64,25.39,27.70205,1.091,OK
v32_128k_L14,128,25.461,35.27425,1.3854,OK
v32_128k_L14,256,25.47,68.34635,2.6834,OK
v32_128k_L14,512,25.69,121.25935000000001,4.7201,OK
v32_128k_L14,1024,26.461,217.88375,8.2341,OK
v32_128k_L34,1,19.597,17.8861,0.9127,OK
v32_128k_L34,2,19.983,18.3214,0.9168,OK
v32_128k_L34,4,20.437,18.5326,0.9068,OK
v32_128k_L34,8,23.831,19.862099999999998,0.8335,OK
v32_128k_L34,16,24.235,20.20615,0.8337,OK
v32_128k_L34,32,21.506,21.635,1.006,OK
v32_128k_L34,64,21.364,25.61105,1.1988,OK
v32_128k_L34,128,21.479,34.516349999999996,1.607,OK
v32_128k_L34,256,21.706,67.41355,3.1058,OK
v32_128k_L34,512,21.926,120.0945,5.4772,OK
v32_128k_L34,1024,22.617,215.5556,9.5308,OK
v32_128k_L54,1,21.275,19.687900000000003,0.9254,OK
v32_128k_L54,2,21.463,19.690900000000003,0.9174,OK
v32_128k_L54,4,21.935,20.13895,0.9181,OK
v32_128k_L54,8,25.574,21.1919,0.8286,OK
v32_128k_L54,16,25.943,21.603,0.8327,OK
v32_128k_L54,32,23.127,23.050900000000002,0.9967,OK
v32_128k_L54,64,23.059,27.042849999999998,1.1728,OK
v32_128k_L54,128,23.172,34.6252,1.4943,OK
v32_128k_L54,256,23.131,67.20230000000001,2.9053,OK
v32_128k_L54,512,23.418,119.35195,5.0966,OK
v32_128k_L54,1024,24.196,215.43075,8.9035,OK
v32_16k_L14,1,14.555,14.3599,0.9866,OK
v32_16k_L14,2,14.678,14.553450000000002,0.9915,OK
v32_16k_L14,4,14.717,14.25255,0.9684,OK
v32_16k_L14,8,14.732,14.25265,0.9675,OK
v32_16k_L14,16,14.786,14.46385,0.9782,OK
v32_16k_L14,32,15.042,14.6749,0.9756,OK
