family,sweep,scenario,model,op,K,dtype,N,BS,isl,cr,hit,us,us_span,exact
real,bs,,flash,radix_cutedsl,512,bf16,4099,256,16k,4,0.34375,11.625549999999999,11.625549999999999,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,512,16k,4,0.34375,15.9568,15.9568,True
real,bs,,flash,gvr_base,512,bf16,4099,512,16k,4,0.34375,17.9696,17.9696,True
real,bs,,flash,gvr_pr,512,bf16,4099,512,16k,4,0.34375,17.433400000000002,17.433400000000002,True
real,bs,,flash,op26_r0auto,512,bf16,4099,512,16k,4,0.34375,16.699,16.699,
real,bs,,flash,radix_cutedsl,512,bf16,4099,512,16k,4,0.34375,21.1728,21.1728,True
real,bs,,flash,flashinfer_topk,512,bf16,4099,1024,16k,4,0.34375,27.03035,27.03035,True
real,bs,,flash,gvr_base,512,bf16,4099,1024,16k,4,0.34375,27.56945,27.56945,True
real,bs,,flash,gvr_pr,512,bf16,4099,1024,16k,4,0.34375,26.02225,26.02225,True
real,bs,,flash,op26_r0auto,512,bf16,4099,1024,16k,4,0.34375,24.77105,24.77105,
real,bs,,flash,radix_cutedsl,512,bf16,4099,1024,16k,4,0.34375,35.860699999999994,35.860699999999994,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,1,32k,4,0.685546875,8.32485,8.32485,True
real,bs,,flash,gvr_base,512,bf16,8195,1,32k,4,0.685546875,11.63665,11.63665,True
real,bs,,flash,gvr_pr,512,bf16,8195,1,32k,4,0.685546875,8.7166,8.7166,True
real,bs,,flash,op26_r0auto,512,bf16,8195,1,32k,4,0.685546875,11.4335,11.4335,
real,bs,,flash,radix_cutedsl,512,bf16,8195,1,32k,4,0.685546875,7.0192,7.0192,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,2,32k,4,0.685546875,8.128,8.128,True
real,bs,,flash,gvr_base,512,bf16,8195,2,32k,4,0.685546875,11.8143,11.8143,True
real,bs,,flash,gvr_pr,512,bf16,8195,2,32k,4,0.685546875,8.878350000000001,8.878350000000001,True
real,bs,,flash,op26_r0auto,512,bf16,8195,2,32k,4,0.685546875,11.59515,11.59515,
real,bs,,flash,radix_cutedsl,512,bf16,8195,2,32k,4,0.685546875,6.9152,6.9152,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,4,32k,4,0.685546875,8.3696,8.3696,True
real,bs,,flash,gvr_base,512,bf16,8195,4,32k,4,0.685546875,11.6655,11.6655,True
real,bs,,flash,gvr_pr,512,bf16,8195,4,32k,4,0.685546875,8.881549999999999,8.881549999999999,True
real,bs,,flash,op26_r0auto,512,bf16,8195,4,32k,4,0.685546875,11.29435,11.29435,
real,bs,,flash,radix_cutedsl,512,bf16,8195,4,32k,4,0.685546875,7.0688,7.0688,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,8,32k,4,0.685546875,8.67045,8.67045,True
real,bs,,flash,gvr_base,512,bf16,8195,8,32k,4,0.685546875,11.8175,11.8175,True
real,bs,,flash,gvr_pr,512,bf16,8195,8,32k,4,0.685546875,8.8895,8.8895,True
real,bs,,flash,op26_r0auto,512,bf16,8195,8,32k,4,0.685546875,11.455950000000001,11.455950000000001,
real,bs,,flash,radix_cutedsl,512,bf16,8195,8,32k,4,0.685546875,7.12,7.12,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,16,32k,4,0.685546875,10.390450000000001,10.390450000000001,True
real,bs,,flash,gvr_base,512,bf16,8195,16,32k,4,0.685546875,12.04955,12.04955,True
real,bs,,flash,gvr_pr,512,bf16,8195,16,32k,4,0.685546875,9.327950000000001,9.327950000000001,True
real,bs,,flash,op26_r0auto,512,bf16,8195,16,32k,4,0.685546875,11.71515,11.71515,
real,bs,,flash,radix_cutedsl,512,bf16,8195,16,32k,4,0.685546875,7.3808,7.3808,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,32,32k,4,0.685546875,10.900799999999998,10.900799999999998,True
real,bs,,flash,gvr_base,512,bf16,8195,32,32k,4,0.685546875,12.3279,12.3279,True
real,bs,,flash,gvr_pr,512,bf16,8195,32,32k,4,0.685546875,9.4335,9.4335,True
real,bs,,flash,op26_r0auto,512,bf16,8195,32,32k,4,0.685546875,12.0255,12.0255,
real,bs,,flash,radix_cutedsl,512,bf16,8195,32,32k,4,0.685546875,7.6816,7.6816,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,64,32k,4,0.685546875,11.120049999999999,11.120049999999999,True
real,bs,,flash,gvr_base,512,bf16,8195,64,32k,4,0.685546875,12.3423,12.3423,True
real,bs,,flash,gvr_pr,512,bf16,8195,64,32k,4,0.685546875,9.5776,9.5776,True
real,bs,,flash,op26_r0auto,512,bf16,8195,64,32k,4,0.685546875,12.0911,12.0911,
real,bs,,flash,radix_cutedsl,512,bf16,8195,64,32k,4,0.685546875,7.79525,7.79525,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,128,32k,4,0.685546875,11.136,11.136,True
real,bs,,flash,gvr_base,512,bf16,8195,128,32k,4,0.685546875,12.6528,12.6528,True
real,bs,,flash,gvr_pr,512,bf16,8195,128,32k,4,0.685546875,9.803049999999999,9.803049999999999,True
real,bs,,flash,op26_r0auto,512,bf16,8195,128,32k,4,0.685546875,12.359950000000001,12.359950000000001,
real,bs,,flash,radix_cutedsl,512,bf16,8195,128,32k,4,0.685546875,8.144,8.144,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,256,32k,4,0.685546875,11.032,11.032,True
real,bs,,flash,gvr_base,512,bf16,8195,256,32k,4,0.685546875,14.703899999999999,14.703899999999999,True
real,bs,,flash,gvr_pr,512,bf16,8195,256,32k,4,0.685546875,11.51825,11.51825,True
real,bs,,flash,op26_r0auto,512,bf16,8195,256,32k,4,0.685546875,12.98705,12.98705,
real,bs,,flash,radix_cutedsl,512,bf16,8195,256,32k,4,0.685546875,14.128,14.128,True
real,bs,,flash,flashinfer_topk,512,bf16,8195,512,32k,4,0.685546875,19.208099999999998,19.208099999999998,True
real,bs,,flash,gvr_base,512,bf16,8195,512,32k,4,0.685546875,25.310200000000002,25.310200000000002,True
real,bs,,flash,gvr_pr,512,bf16,8195,512,32k,4,0.685546875,19.63655,19.63655,True
real,bs,,flash,op26_r0auto,512,bf16,8195,512,32k,4,0.685546875,22.350099999999998,22.350099999999998,
real,bs,,flash,radix_cutedsl,512,bf16,8195,512,32k,4,0.685546875,25.8304,25.8304,True
