model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,32k,34,bf16,32783,1,8,0.43017578125,20.62375,16.31825,20.03815,1.264,1.228,True
v32,32k,34,bf16,32783,1,16,0.43017578125,20.6192,16.21265,18.39025,1.272,1.134,True
v32,32k,34,bf16,32783,1,32,0.43017578125,20.76775,16.3806,17.66215,1.268,1.078,True
v32,32k,34,bf16,32783,1,64,0.43017578125,21.047849999999997,16.7808,18.3358,1.254,1.093,True
v32,32k,34,bf16,32783,1,128,0.43017578125,21.963,17.60455,20.14695,1.248,1.144,True
v32,32k,34,bf16,32783,1,256,0.43017578125,30.172349999999998,23.3966,26.22055,1.29,1.121,True
v32,32k,34,bf16,32783,1,512,0.43017578125,52.10175,40.4475,45.9514,1.288,1.136,True
v32,32k,34,bf16,32783,1,1024,0.43017578125,82.4758,63.78965,73.68075,1.293,1.155,True
v32,32k,34,fp16,32783,1,1,0.42919921875,19.22535,15.1181,17.419,1.272,1.152,True
v32,32k,34,fp16,32783,1,2,0.42919921875,19.29255,15.16775,16.5533,1.272,1.091,True
v32,32k,34,fp16,32783,1,4,0.42919921875,19.286150000000003,15.2175,18.3005,1.267,1.203,True
v32,32k,34,fp16,32783,1,8,0.42919921875,19.26355,15.218950000000001,16.5774,1.266,1.089,True
v32,32k,34,fp16,32783,1,16,0.42919921875,19.57735,15.5918,17.050900000000002,1.256,1.094,True
v32,32k,34,fp16,32783,1,32,0.42919921875,19.914900000000003,15.862200000000001,17.8015,1.255,1.122,True
v32,32k,34,fp16,32783,1,64,0.42919921875,20.310200000000002,16.31165,17.209349999999997,1.245,1.055,True
v32,32k,34,fp16,32783,1,128,0.42919921875,21.3372,17.19175,18.771,1.241,1.092,True
v32,32k,34,fp16,32783,1,256,0.42919921875,29.2092,22.929299999999998,25.53405,1.274,1.114,True
v32,32k,34,fp16,32783,1,512,0.42919921875,50.432900000000004,39.16115,44.3145,1.288,1.132,True
v32,32k,34,fp16,32783,1,1024,0.42919921875,79.8806,61.96085,71.247,1.289,1.15,True
v32,32k,34,fp32,32783,1,1,0.42919921875,19.463849999999997,15.96625,16.6221,1.219,1.041,True
v32,32k,34,fp32,32783,1,2,0.42919921875,19.35825,15.715,16.8127,1.232,1.07,True
v32,32k,34,fp32,32783,1,4,0.42919921875,19.462400000000002,15.7742,17.1053,1.234,1.084,True
v32,32k,34,fp32,32783,1,8,0.42919921875,19.702150000000003,15.95825,17.17745,1.235,1.076,True
v32,32k,34,fp32,32783,1,16,0.42919921875,20.152,16.47985,17.62065,1.223,1.069,True
v32,32k,34,fp32,32783,1,32,0.42919921875,20.649099999999997,16.913349999999998,18.01915,1.221,1.065,True
v32,32k,34,fp32,32783,1,64,0.42919921875,21.2344,17.36625,18.9166,1.223,1.089,True
v32,32k,34,fp32,32783,1,128,0.42919921875,22.556549999999998,18.681549999999998,20.074849999999998,1.207,1.075,True
