model,isl,N,K,L,hit,op,us,us_span,exact
flash,256k,65538,512,2,0.303,radix_cutedsl,20.0734,20.0734,True
flash,256k,65538,512,2,0.303,sglang_v2,11.5246,11.5246,True
flash,256k,65538,512,2,0.303,flashinfer_topk,14.9566,14.9566,True
flash,256k,65538,512,4,0.184,radix_cutedsl,19.9486,19.9486,True
flash,256k,65538,512,4,0.184,sglang_v2,10.3615,10.3615,True
flash,256k,65538,512,4,0.184,flashinfer_topk,13.2495,13.2495,True
flash,256k,65538,512,6,0.303,radix_cutedsl,19.9102,19.9102,True
flash,256k,65538,512,6,0.303,sglang_v2,10.3743,10.3743,True
flash,256k,65538,512,6,0.303,flashinfer_topk,12.6911,12.6911,True
flash,256k,65538,512,8,0.158,radix_cutedsl,19.8173,19.8173,True
flash,256k,65538,512,8,0.158,sglang_v2,9.4959,9.4959,True
flash,256k,65538,512,8,0.158,flashinfer_topk,12.5775,12.5775,True
flash,256k,65538,512,10,0.193,radix_cutedsl,20.0141,20.0141,True
flash,256k,65538,512,10,0.193,sglang_v2,10.1663,10.1663,True
flash,256k,65538,512,10,0.193,flashinfer_topk,13.3599,13.3599,True
flash,256k,65538,512,12,0.156,radix_cutedsl,19.8846,19.8846,True
flash,256k,65538,512,12,0.156,sglang_v2,9.7839,9.7839,True
flash,256k,65538,512,12,0.156,flashinfer_topk,12.992,12.992,True
flash,256k,65538,512,14,0.182,radix_cutedsl,19.8382,19.8382,True
flash,256k,65538,512,14,0.182,sglang_v2,9.3247,9.3247,True
flash,256k,65538,512,14,0.182,flashinfer_topk,13.3855,13.3855,True
flash,256k,65538,512,16,0.266,radix_cutedsl,19.9998,19.9998,True
flash,256k,65538,512,16,0.266,sglang_v2,9.2798,9.2798,True
flash,256k,65538,512,16,0.266,flashinfer_topk,13.0974,13.0974,True
flash,256k,65538,512,18,0.312,radix_cutedsl,19.8158,19.8158,True
flash,256k,65538,512,18,0.312,sglang_v2,9.6846,9.6846,True
flash,256k,65538,512,18,0.312,flashinfer_topk,12.8462,12.8462,True
flash,256k,65538,512,20,0.6,radix_cutedsl,19.9982,19.9982,True
flash,256k,65538,512,20,0.6,sglang_v2,9.5695,9.5695,True
flash,256k,65538,512,20,0.6,flashinfer_topk,12.907,12.907,True
flash,256k,65538,512,22,0.279,radix_cutedsl,19.8765,19.8765,True
flash,256k,65538,512,22,0.279,sglang_v2,9.6205,9.6205,True
flash,256k,65538,512,22,0.279,flashinfer_topk,13.0783,13.0783,True
flash,256k,65538,512,24,0.111,radix_cutedsl,19.8462,19.8462,True
flash,256k,65538,512,24,0.111,sglang_v2,9.5759,9.5759,True
flash,256k,65538,512,24,0.111,flashinfer_topk,12.7037,12.7037,True
flash,256k,65538,512,26,0.486,radix_cutedsl,19.8414,19.8414,True
flash,256k,65538,512,26,0.486,sglang_v2,9.4431,9.4431,True
flash,256k,65538,512,26,0.486,flashinfer_topk,12.7007,12.7007,True
flash,256k,65538,512,28,0.484,radix_cutedsl,20.0671,20.0671,True
flash,256k,65538,512,28,0.484,sglang_v2,10.2431,10.2431,True
flash,256k,65538,512,28,0.484,flashinfer_topk,13.6239,13.6239,True
flash,256k,65538,512,30,0.471,radix_cutedsl,19.923,19.923,True
flash,256k,65538,512,30,0.471,sglang_v2,9.6239,9.6239,True
flash,256k,65538,512,30,0.471,flashinfer_topk,13.0303,13.0303,True
flash,256k,65538,512,32,0.402,radix_cutedsl,20.1823,20.1823,True
flash,256k,65538,512,32,0.402,sglang_v2,10.3407,10.3407,True
flash,256k,65538,512,32,0.402,flashinfer_topk,14.0319,14.0319,True
flash,256k,65538,512,34,0.631,radix_cutedsl,19.923,19.923,True
flash,256k,65538,512,34,0.631,sglang_v2,9.3295,9.3295,True
flash,256k,65538,512,34,0.631,flashinfer_topk,12.6542,12.6542,True
flash,256k,65538,512,36,0.762,radix_cutedsl,20.0782,20.0782,True
flash,256k,65538,512,36,0.762,sglang_v2,9.787,9.787,True
flash,256k,65538,512,36,0.762,flashinfer_topk,13.912,13.912,True
flash,256k,65538,512,38,0.453,radix_cutedsl,20.099,20.099,True
flash,256k,65538,512,38,0.453,sglang_v2,10.6335,10.6335,True
flash,256k,65538,512,38,0.453,flashinfer_topk,13.4606,13.4606,True
flash,256k,65538,512,40,0.25,radix_cutedsl,19.9374,19.9374,True
flash,256k,65538,512,40,0.25,sglang_v2,9.3438,9.3438,True
flash,256k,65538,512,40,0.25,flashinfer_topk,12.8287,12.8287,True
flash,256k,65538,512,42,0.617,radix_cutedsl,19.9055,19.9055,True
flash,256k,65538,512,42,0.617,sglang_v2,10.7599,10.7599,True
flash,256k,65538,512,42,0.617,flashinfer_topk,15.1695,15.1695,True
flash,32k,8195,512,2,0.809,radix_cutedsl,8.7439,8.7439,True
flash,32k,8195,512,2,0.809,sglang_v2,5.8896,5.8896,True
flash,32k,8195,512,2,0.809,flashinfer_topk,11.5967,11.5967,True
flash,32k,8195,512,4,0.775,radix_cutedsl,8.6015,8.6015,True
flash,32k,8195,512,4,0.775,sglang_v2,5.6607,5.6607,True
flash,32k,8195,512,4,0.775,flashinfer_topk,11.7774,11.7774,True
flash,32k,8195,512,6,0.859,radix_cutedsl,8.4047,8.4047,True
flash,32k,8195,512,6,0.859,sglang_v2,5.4544,5.4544,True
flash,32k,8195,512,6,0.859,flashinfer_topk,11.3023,11.3023,True
flash,32k,8195,512,8,0.76,radix_cutedsl,8.5839,8.5839,True
flash,32k,8195,512,8,0.76,sglang_v2,5.5231,5.5231,True
flash,32k,8195,512,8,0.76,flashinfer_topk,11.7423,11.7423,True
flash,32k,8195,512,10,0.723,radix_cutedsl,8.8864,8.8864,True
flash,32k,8195,512,10,0.723,sglang_v2,5.6976,5.6976,True
flash,32k,8195,512,10,0.723,flashinfer_topk,11.3295,11.3295,True
flash,32k,8195,512,12,0.631,radix_cutedsl,8.5936,8.5936,True
flash,32k,8195,512,12,0.631,sglang_v2,5.536,5.536,True
flash,32k,8195,512,12,0.631,flashinfer_topk,11.5102,11.5102,True
flash,32k,8195,512,14,0.688,radix_cutedsl,8.9726,8.9726,True
flash,32k,8195,512,14,0.688,sglang_v2,5.6816,5.6816,True
flash,32k,8195,512,14,0.688,flashinfer_topk,11.3918,11.3918,True
flash,32k,8195,512,16,0.59,radix_cutedsl,8.7263,8.7263,True
flash,32k,8195,512,16,0.59,sglang_v2,5.5424,5.5424,True
flash,32k,8195,512,16,0.59,flashinfer_topk,11.3599,11.3599,True
flash,32k,8195,512,18,0.713,radix_cutedsl,8.803,8.803,True
flash,32k,8195,512,18,0.713,sglang_v2,5.5936,5.5936,True
flash,32k,8195,512,18,0.713,flashinfer_topk,11.4542,11.4542,True
flash,32k,8195,512,20,0.795,radix_cutedsl,8.9613,8.9613,True
flash,32k,8195,512,20,0.795,sglang_v2,5.7056,5.7056,True
flash,32k,8195,512,20,0.795,flashinfer_topk,11.6508,11.6508,True
flash,32k,8195,512,22,0.686,radix_cutedsl,8.8864,8.8864,True
flash,32k,8195,512,22,0.686,sglang_v2,5.5792,5.5792,True
flash,32k,8195,512,22,0.686,flashinfer_topk,11.3664,11.3664,True
flash,32k,8195,512,24,0.719,radix_cutedsl,8.3438,8.3438,True
flash,32k,8195,512,24,0.719,sglang_v2,5.576,5.576,True
flash,32k,8195,512,24,0.719,flashinfer_topk,11.3775,11.3775,True
flash,32k,8195,512,26,0.713,radix_cutedsl,8.88,8.88,True
flash,32k,8195,512,26,0.713,sglang_v2,5.5519,5.5519,True
flash,32k,8195,512,26,0.713,flashinfer_topk,11.5887,11.5887,True
flash,32k,8195,512,28,0.869,radix_cutedsl,8.8606,8.8606,True
flash,32k,8195,512,28,0.869,sglang_v2,5.728,5.728,True
flash,32k,8195,512,28,0.869,flashinfer_topk,11.3278,11.3278,True
flash,32k,8195,512,30,0.824,radix_cutedsl,8.8958,8.8958,True
flash,32k,8195,512,30,0.824,sglang_v2,5.656,5.656,True
flash,32k,8195,512,30,0.824,flashinfer_topk,11.6031,11.6031,True
flash,32k,8195,512,32,0.615,radix_cutedsl,8.659,8.659,True
flash,32k,8195,512,32,0.615,sglang_v2,5.6076,5.6076,True
flash,32k,8195,512,32,0.615,flashinfer_topk,11.3295,11.3295,True
flash,32k,8195,512,34,0.67,radix_cutedsl,8.6911,8.6911,True
flash,32k,8195,512,34,0.67,sglang_v2,5.6,5.6,True
flash,32k,8195,512,34,0.67,flashinfer_topk,11.451,11.451,True
flash,32k,8195,512,36,0.908,radix_cutedsl,8.6575,8.6575,True
flash,32k,8195,512,36,0.908,sglang_v2,5.7295,5.7295,True
flash,32k,8195,512,36,0.908,flashinfer_topk,11.4126,11.4126,True
flash,32k,8195,512,38,0.762,radix_cutedsl,8.8351,8.8351,True
flash,32k,8195,512,38,0.762,sglang_v2,5.6848,5.6848,True
flash,32k,8195,512,38,0.762,flashinfer_topk,11.7119,11.7119,True
flash,32k,8195,512,40,0.799,radix_cutedsl,8.7487,8.7487,True
flash,32k,8195,512,40,0.799,sglang_v2,5.771,5.771,True
flash,32k,8195,512,40,0.799,flashinfer_topk,11.7662,11.7662,True
flash,32k,8195,512,42,0.873,radix_cutedsl,8.6989,8.6989,True
flash,32k,8195,512,42,0.873,sglang_v2,5.9455,5.9455,True
flash,32k,8195,512,42,0.873,flashinfer_topk,11.8717,11.8717,True
flash,4k,1027,512,2,0.895,radix_cutedsl,5.9231,5.9231,True
flash,4k,1027,512,2,0.895,sglang_v2,4.8495,4.8495,True
flash,4k,1027,512,2,0.895,flashinfer_topk,6.6816,6.6816,True
flash,4k,1027,512,4,0.891,radix_cutedsl,5.5888,5.5888,True
flash,4k,1027,512,4,0.891,sglang_v2,4.8896,4.8896,True
flash,4k,1027,512,4,0.891,flashinfer_topk,6.7376,6.7376,True
flash,4k,1027,512,6,0.863,radix_cutedsl,6.0751,6.0751,True
flash,4k,1027,512,6,0.863,sglang_v2,4.7408,4.7408,True
flash,4k,1027,512,6,0.863,flashinfer_topk,6.7086,6.7086,True
flash,4k,1027,512,8,0.744,radix_cutedsl,5.4767,5.4767,True
flash,4k,1027,512,8,0.744,sglang_v2,4.8079,4.8079,True
flash,4k,1027,512,8,0.744,flashinfer_topk,6.6319,6.6319,True
flash,4k,1027,512,10,0.846,radix_cutedsl,5.8639,5.8639,True
flash,4k,1027,512,10,0.846,sglang_v2,4.648,4.648,True
flash,4k,1027,512,10,0.846,flashinfer_topk,6.6639,6.6639,True
flash,4k,1027,512,12,0.607,radix_cutedsl,6.0895,6.0895,True
flash,4k,1027,512,12,0.607,sglang_v2,4.8351,4.8351,True
flash,4k,1027,512,12,0.607,flashinfer_topk,6.6639,6.6639,True
flash,4k,1027,512,14,0.711,radix_cutedsl,5.944,5.944,True
flash,4k,1027,512,14,0.711,sglang_v2,4.8351,4.8351,True
flash,4k,1027,512,14,0.711,flashinfer_topk,6.6383,6.6383,True
flash,4k,1027,512,16,0.674,radix_cutedsl,5.6734,5.6734,True
flash,4k,1027,512,16,0.674,sglang_v2,4.8367,4.8367,True
flash,4k,1027,512,16,0.674,flashinfer_topk,6.5776,6.5776,True
flash,4k,1027,512,18,0.723,radix_cutedsl,5.8766,5.8766,True
flash,4k,1027,512,18,0.723,sglang_v2,4.8079,4.8079,True
flash,4k,1027,512,18,0.723,flashinfer_topk,6.6815,6.6815,True
flash,4k,1027,512,20,0.646,radix_cutedsl,5.8943,5.8943,True
flash,4k,1027,512,20,0.646,sglang_v2,4.7343,4.7343,True
flash,4k,1027,512,20,0.646,flashinfer_topk,6.6799,6.6799,True
