model,isl,N,K,L,BS,hit,op,us,us_span,exact
flash,256k,65538,512,10,32,0.193,gvr_pr,15.987,15.987,True
flash,256k,65538,512,10,32,0.193,radix_cutedsl,30.7596,30.7596,True
flash,256k,65538,512,10,32,0.193,sglang_v2,20.4894,26.3597,True
flash,256k,65538,512,10,32,0.193,flashinfer_topk,18.9342,18.9342,True
flash,256k,65538,512,10,64,0.193,gvr_pr,18.1166,18.1166,True
flash,256k,65538,512,10,64,0.193,radix_cutedsl,57.8521,57.8521,True
flash,256k,65538,512,10,64,0.193,sglang_v2,20.8958,24.0093,True
flash,256k,65538,512,10,64,0.193,flashinfer_topk,21.7934,21.7934,True
flash,256k,65538,512,10,128,0.193,gvr_pr,20.4878,20.4878,True
flash,256k,65538,512,10,128,0.193,radix_cutedsl,61.5226,61.5226,True
flash,256k,65538,512,10,128,0.193,sglang_v2,22.7278,25.2398,True
flash,256k,65538,512,10,128,0.193,flashinfer_topk,30.9757,30.9757,True
flash,256k,65538,512,10,256,0.193,gvr_pr,31.9328,31.9328,True
flash,256k,65538,512,10,256,0.193,radix_cutedsl,118.5777,118.5777,True
flash,256k,65538,512,10,256,0.193,sglang_v2,31.422,34.2556,True
flash,256k,65538,512,10,256,0.193,flashinfer_topk,46.7626,46.7626,True
flash,256k,65538,512,10,512,0.193,gvr_pr,60.6328,60.6328,True
flash,256k,65538,512,10,512,0.193,radix_cutedsl,203.9913,203.9913,True
flash,256k,65538,512,10,512,0.193,sglang_v2,57.7322,60.1416,True
flash,256k,65538,512,10,512,0.193,flashinfer_topk,82.4918,82.4918,True
flash,256k,65538,512,10,1024,0.193,gvr_pr,100.935,100.935,True
flash,256k,65538,512,10,1024,0.193,radix_cutedsl,402.9119,402.9119,True
flash,256k,65538,512,10,1024,0.193,sglang_v2,93.6294,93.6294,True
flash,256k,65538,512,10,1024,0.193,flashinfer_topk,133.7984,133.7984,True
flash,512k,131075,512,10,1,0.455,gvr_pr,18.0333,18.0333,True
flash,512k,131075,512,10,1,0.455,radix_cutedsl,19.5903,19.5903,True
flash,512k,131075,512,10,1,0.455,sglang_v2,13.3677,13.3677,True
flash,512k,131075,512,10,1,0.455,flashinfer_topk,16.635,16.635,True
flash,512k,131075,512,10,2,0.455,gvr_pr,17.9773,17.9773,True
flash,512k,131075,512,10,2,0.455,radix_cutedsl,20.1277,20.1277,True
flash,512k,131075,512,10,2,0.455,sglang_v2,13.2368,13.2368,True
flash,512k,131075,512,10,2,0.455,flashinfer_topk,16.6702,16.6702,True
flash,512k,131075,512,10,4,0.455,gvr_pr,18.1566,18.1566,True
flash,512k,131075,512,10,4,0.455,radix_cutedsl,20.5693,20.5693,True
flash,512k,131075,512,10,4,0.455,sglang_v2,13.3695,13.3695,True
flash,512k,131075,512,10,4,0.455,flashinfer_topk,16.8652,16.8652,True
flash,512k,131075,512,10,8,0.455,gvr_pr,19.5614,19.5614,True
flash,512k,131075,512,10,8,0.455,radix_cutedsl,21.1101,21.1101,True
flash,512k,131075,512,10,8,0.455,sglang_v2,13.7599,13.7599,True
flash,512k,131075,512,10,8,0.455,flashinfer_topk,17.233,17.233,True
flash,512k,131075,512,10,16,0.455,gvr_pr,20.1453,20.1453,True
flash,512k,131075,512,10,16,0.455,radix_cutedsl,25.0077,25.0077,True
flash,512k,131075,512,10,16,0.455,sglang_v2,15.9947,15.9947,True
flash,512k,131075,512,10,16,0.455,flashinfer_topk,22.6605,22.6605,True
flash,512k,131075,512,10,32,0.455,gvr_pr,21.195,21.195,True
flash,512k,131075,512,10,32,0.455,radix_cutedsl,54.2713,54.2713,True
flash,512k,131075,512,10,32,0.455,sglang_v2,46.3258,28.078,True
flash,512k,131075,512,10,32,0.455,flashinfer_topk,24.7373,24.7373,True
flash,512k,131075,512,10,64,0.455,gvr_pr,26.8717,26.8717,True
flash,512k,131075,512,10,64,0.455,radix_cutedsl,83.0567,83.0567,True
flash,512k,131075,512,10,64,0.455,sglang_v2,33.598,38.8188,True
flash,512k,131075,512,10,64,0.455,flashinfer_topk,33.6876,33.6876,True
flash,512k,131075,512,10,128,0.455,gvr_pr,38.0892,38.0892,True
flash,512k,131075,512,10,128,0.455,radix_cutedsl,104.7011,104.7011,True
flash,512k,131075,512,10,128,0.455,sglang_v2,39.71,44.3948,True
flash,512k,131075,512,10,128,0.455,flashinfer_topk,56.3322,56.3322,True
flash,512k,131075,512,10,256,0.455,gvr_pr,83.3414,83.3414,True
flash,512k,131075,512,10,256,0.455,radix_cutedsl,203.6889,203.6889,True
flash,512k,131075,512,10,256,0.455,sglang_v2,62.0568,67.4279,True
flash,512k,131075,512,10,256,0.455,flashinfer_topk,102.9492,102.9492,True
flash,512k,131075,512,10,512,0.455,gvr_pr,150.067,150.067,True
