family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,flash,512,bf16,2051,16,8k,0.333984375,8.581,8.144,7.962,1.0536,1.0778,1.0229,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,32,8k,0.333984375,8.771,8.397,8.17,1.0446,1.0736,1.0278,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,64,8k,0.333984375,8.773,8.44,8.211,1.0394,1.0684,1.0278,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,128,8k,0.333984375,9.102,8.858,8.624,1.0276,1.0555,1.0271,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,2051,256,8k,0.333984375,10.645,9.762,9.493,1.0905,1.1214,1.0283,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,2051,512,8k,0.333984375,18.363,17.47,16.702,1.0511,1.0994,1.046,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,2051,1024,8k,0.333984375,27.805,26.184,25.072,1.0619,1.109,1.0444,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,4099,1,16k,0.34375,8.109,8.221,8.104,0.9864,1.0006,1.0144,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,2,16k,0.34375,8.246,8.518,8.302,0.9681,0.9933,1.026,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,4,16k,0.34375,8.319,8.568,8.075,0.9709,1.0301,1.061,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,8,16k,0.34375,8.411,8.52,8.253,0.9872,1.0192,1.0324,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,16,16k,0.34375,8.299,8.541,8.168,0.9717,1.0161,1.0456,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,32,16k,0.34375,8.392,8.547,8.43,0.9818,0.9954,1.0139,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,64,16k,0.34375,8.605,8.715,8.48,0.9873,1.0147,1.0277,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,128,16k,0.34375,8.787,9.059,8.781,0.97,1.0007,1.0317,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,4099,256,16k,0.34375,10.52,10.302,10.032,1.0211,1.0486,1.027,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,4099,512,16k,0.34375,18.029,17.962,17.408,1.0037,1.0357,1.0318,True,True,True,cs1/T512/mb3/v128
