cell,BS,arm,cold_us,warm_us,exact
v32_256k_L03,64,gvr_pr,28.793599999999998,23.0336,1
v32_256k_L03,64,bsx,28.889599999999998,23.0656,1
v32_256k_L03,128,gvr_pr,44.585699999999996,29.1328,1
v32_256k_L03,128,bsx,43.2864,27.8848,1
v32_256k_L03,256,gvr_pr,81.61280000000001,70.2144,1
v32_256k_L03,256,bsx,59.264,47.155199999999994,1
v32_256k_L03,512,gvr_pr,148.304,137.3762,1
v32_256k_L03,512,bsx,105.4848,95.38560000000001,1
v32_256k_L03,1024,gvr_pr,265.584,253.901,1
v32_256k_L03,1024,bsx,188.7777,177.8304,1
v32_32k_L22,1,gvr_pr,14.976,12.992,1
v32_32k_L22,1,bsx,10.156799999999999,9.568,1
v32_32k_L22,2,gvr_pr,14.7904,12.9856,1
v32_32k_L22,2,bsx,10.1377,9.696,1
v32_32k_L22,4,gvr_pr,14.9184,12.9024,1
v32_32k_L22,4,bsx,10.569600000000001,10.067200000000001,1
v32_32k_L22,8,gvr_pr,14.8256,13.0178,1
v32_32k_L22,8,bsx,10.6944,10.163200000000002,1
v32_32k_L22,16,gvr_pr,15.1744,13.3056,1
v32_32k_L22,16,bsx,17.52,15.1232,1
v32_32k_L22,32,gvr_pr,15.6256,13.408,1
v32_32k_L22,32,bsx,17.9264,15.430399999999999,1
v32_32k_L22,64,gvr_pr,16.3008,13.542399999999999,1
v32_32k_L22,64,bsx,20.691200000000002,17.875400000000003,1
v32_32k_L22,128,gvr_pr,17.1008,13.964799999999999,1
v32_32k_L22,128,bsx,19.184,14.9632,1
v32_32k_L22,256,gvr_pr,22.9024,19.0016,1
v32_32k_L22,256,bsx,23.9584,18.624200000000002,1
v32_32k_L22,512,gvr_pr,43.728199999999994,36.499199999999995,1
v32_32k_L22,512,bsx,46.0673,35.712,1
v32_32k_L22,1024,gvr_pr,76.2146,71.3282,1
v32_32k_L22,1024,bsx,82.19539999999999,76.2178,1
v32_64k_L03,1,gvr_pr,17.4272,15.296,1
v32_64k_L03,1,bsx,11.884799999999998,11.4368,1
v32_64k_L03,2,gvr_pr,16.854400000000002,15.3664,1
v32_64k_L03,2,bsx,11.859200000000001,11.392,1
v32_64k_L03,4,gvr_pr,16.9632,15.3792,1
v32_64k_L03,4,bsx,11.987200000000001,11.462399999999999,1
v32_64k_L03,8,gvr_pr,17.232,15.462399999999999,1
v32_64k_L03,8,bsx,12.2431,11.5456,1
v32_64k_L03,16,gvr_pr,17.577599999999997,15.648,1
v32_64k_L03,16,bsx,19.4016,17.203200000000002,1
v32_64k_L03,32,gvr_pr,18.368,15.7696,1
v32_64k_L03,32,bsx,20.592,18.0862,1
v32_64k_L03,64,gvr_pr,21.0495,17.6512,1
v32_64k_L03,64,bsx,25.203200000000002,20.9344,1
v32_64k_L03,128,gvr_pr,22.3968,17.9072,1
v32_64k_L03,128,bsx,26.1182,19.4752,1
v32_64k_L03,256,gvr_pr,35.500800000000005,27.0016,1
v32_64k_L03,256,bsx,35.510400000000004,25.024,1
v32_64k_L03,512,gvr_pr,68.01589999999999,57.503800000000005,1
v32_64k_L03,512,bsx,65.1328,57.1328,1
v32_64k_L03,1024,gvr_pr,112.0192,100.8832,1
v32_64k_L03,1024,bsx,115.1392,106.0158,1
v32_64k_L22,1,gvr_pr,17.5424,15.7696,1
v32_64k_L22,1,bsx,11.456,10.9248,1
v32_64k_L22,2,gvr_pr,17.536099999999998,15.8784,1
v32_64k_L22,2,bsx,11.491200000000001,11.1104,1
v32_64k_L22,4,gvr_pr,17.833599999999997,16.3584,1
v32_64k_L22,4,bsx,11.904,11.4688,1
v32_64k_L22,8,gvr_pr,18.0864,16.3072,1
v32_64k_L22,8,bsx,12.236799999999999,11.488,1
v32_64k_L22,16,gvr_pr,18.384,16.531200000000002,1
v32_64k_L22,16,bsx,20.166400000000003,18.0928,1
v32_64k_L22,32,gvr_pr,19.238400000000002,16.576,1
v32_64k_L22,32,bsx,21.76,19.0016,1
v32_64k_L22,64,gvr_pr,21.9392,18.4448,1
v32_64k_L22,64,bsx,26.016,21.792,1
v32_64k_L22,128,gvr_pr,22.7904,18.5472,1
v32_64k_L22,128,bsx,26.211299999999998,19.6608,1
v32_64k_L22,256,gvr_pr,36.2592,27.833599999999997,1
v32_64k_L22,256,bsx,35.7344,24.627200000000002,1
v32_64k_L22,512,gvr_pr,69.168,59.001599999999996,1
v32_64k_L22,512,bsx,65.7504,57.126400000000004,1
v32_64k_L22,1024,gvr_pr,114.91839999999999,103.5776,1
v32_64k_L22,1024,bsx,114.0128,104.6208,1
