model,isl,N,K,L,BS,hit,cs,op,us,us_span,exact
flash,32k,8195,512,34,4,0.6699,1,gvr_pr,10.2943,10.2943,True
flash,32k,8195,512,34,4,0.6699,,kf_compB,25.8606,26.6223,True
flash,32k,8195,512,34,8,0.6699,1,gvr_pr,10.3742,10.3742,True
flash,32k,8195,512,34,8,0.6699,,kf_compB,51.7996,53.5676,True
flash,32k,8195,512,34,16,0.6699,1,gvr_pr,10.3968,10.3968,True
flash,32k,8195,512,34,16,0.6699,,kf_compB,102.148,105.9848,True
flash,32k,8195,512,34,32,0.6699,1,gvr_pr,10.4095,10.4095,True
flash,32k,8195,512,34,32,0.6699,,kf_compB,203.0371,210.9571,True
flash,32k,8195,512,34,64,0.6699,1,gvr_pr,10.6911,10.6911,True
flash,32k,8195,512,34,64,0.6699,,kf_compB,404.5988,420.6962,True
flash,32k,8195,512,34,128,0.6699,1,gvr_pr,11.2064,11.2064,True
flash,32k,8195,512,34,128,0.6699,,kf_compB,807.9767,840.3732,True
flash,32k,8195,512,34,256,0.6699,1,gvr_pr,20.6031,20.6031,True
flash,32k,8195,512,34,256,0.6699,,kf_compB,1614.4011,1679.556,True
flash,32k,8195,512,34,512,0.6699,1,gvr_pr,38.1213,38.1213,True
flash,32k,8195,512,34,512,0.6699,,kf_compB,3226.2524,3356.896,True
flash,32k,8195,512,34,1024,0.6699,1,gvr_pr,66.8155,66.8155,True
flash,32k,8195,512,34,1024,0.6699,,kf_compB,6452.5373,6713.9808,True
flash,4k,1027,512,10,1,0.8457,1,gvr_pr,8.8607,8.8607,True
flash,4k,1027,512,10,1,0.8457,,kf_compB,3.6896,3.6896,True
flash,4k,1027,512,10,2,0.8457,1,gvr_pr,8.7184,8.7184,True
flash,4k,1027,512,10,2,0.8457,,kf_compB,7.3232,7.5823,True
flash,4k,1027,512,10,4,0.8457,1,gvr_pr,8.7951,8.7951,True
flash,4k,1027,512,10,4,0.8457,,kf_compB,14.8206,15.5902,True
flash,4k,1027,512,10,8,0.8457,1,gvr_pr,8.8736,8.8736,True
flash,4k,1027,512,10,8,0.8457,,kf_compB,29.4782,31.3646,True
